Parti,Nombre de sièges,Nombre de voix,canton,date,election
KPB/PCB,,201,Aarschot,1958,chambre-des-représentants
BSP/PSB,,4766,Aarschot,1958,chambre-des-représentants
Parti Liberale/Liberale,,4261,Aarschot,1958,chambre-des-représentants
Volksunie,,384,Aarschot,1958,chambre-des-représentants
PSC/CVP,,12084,Aarschot,1958,chambre-des-représentants
BSP/PSB,,16095,Alost,1958,chambre-des-représentants
Parti Liberale/Liberale,,14332,Alost,1958,chambre-des-représentants
Volksunie,,3966,Alost,1958,chambre-des-représentants
PSC/CVP,,25851,Alost,1958,chambre-des-représentants
BSP/PSB,,6187,Andenne,1958,chambre-des-représentants
Parti Liberale/Liberale,,1205,Andenne,1958,chambre-des-représentants
PSC/CVP,,4619,Andenne,1958,chambre-des-représentants
Onafhankelijken,,86,Andenne,1958,chambre-des-représentants
KPB/PCB,,2292,Anderlecht,1958,chambre-des-représentants
BSP/PSB,,41517,Anderlecht,1958,chambre-des-représentants
Parti Liberale/Liberale,,8715,Anderlecht,1958,chambre-des-représentants
Volksunie,,1199,Anderlecht,1958,chambre-des-représentants
PSC/CVP,,24354,Anderlecht,1958,chambre-des-représentants
Onafhankelijken,,1098,Anderlecht,1958,chambre-des-représentants
KPB/PCB,,1188,Antoing,1958,chambre-des-représentants
BSP/PSB,,6860,Antoing,1958,chambre-des-représentants
Parti Liberale/Liberale,,1722,Antoing,1958,chambre-des-représentants
PSC/CVP,,5202,Antoing,1958,chambre-des-représentants
Onafhankelijken,,54,Antoing,1958,chambre-des-représentants
BSP/PSB,,88040,Anvers,1958,chambre-des-représentants
Parti Liberale/Liberale,,22673,Anvers,1958,chambre-des-représentants
Volksunie,,8358,Anvers,1958,chambre-des-représentants
PSC/CVP,,73177,Anvers,1958,chambre-des-représentants
Onafhankelijken,,584,Anvers,1958,chambre-des-représentants
BSP/PSB,,1552,Ardooie,1958,chambre-des-représentants
Parti Liberale/Liberale,,199,Ardooie,1958,chambre-des-représentants
Volksunie,,231,Ardooie,1958,chambre-des-représentants
PSC/CVP,,6425,Ardooie,1958,chambre-des-représentants
BSP/PSB,,2427,Arendonk,1958,chambre-des-représentants
Parti Liberale/Liberale,,134,Arendonk,1958,chambre-des-représentants
Volksunie,,194,Arendonk,1958,chambre-des-représentants
PSC/CVP,,12009,Arendonk,1958,chambre-des-représentants
Kartel Lib Soc,,6523,Arlon,1958,chambre-des-représentants
PSC/CVP,,7170,Arlon,1958,chambre-des-représentants
Onafhankelijken,,141,Arlon,1958,chambre-des-représentants
KPB/PCB,,180,Asse,1958,chambre-des-représentants
BSP/PSB,,6995,Asse,1958,chambre-des-représentants
Parti Liberale/Liberale,,4166,Asse,1958,chambre-des-représentants
Volksunie,,1409,Asse,1958,chambre-des-représentants
PSC/CVP,,22536,Asse,1958,chambre-des-représentants
Onafhankelijken,,157,Asse,1958,chambre-des-représentants
BSP/PSB,,5577,Assenede,1958,chambre-des-représentants
Parti Liberale/Liberale,,1093,Assenede,1958,chambre-des-représentants
Volksunie,,250,Assenede,1958,chambre-des-représentants
PSC/CVP,,8341,Assenede,1958,chambre-des-représentants
peuple universel,,17,Assenede,1958,chambre-des-représentants
KPB/PCB,,562,Ath,1958,chambre-des-représentants
BSP/PSB,,5819,Ath,1958,chambre-des-représentants
Parti Liberale/Liberale,,2175,Ath,1958,chambre-des-représentants
PSC/CVP,,3575,Ath,1958,chambre-des-représentants
Onafhankelijken,,41,Ath,1958,chambre-des-représentants
KPB/PCB,,25,Aubel,1958,chambre-des-représentants
BSP/PSB,,2054,Aubel,1958,chambre-des-représentants
Parti Liberale/Liberale,,568,Aubel,1958,chambre-des-représentants
PSC/CVP,,8148,Aubel,1958,chambre-des-représentants
Onafhankelijken,,85,Aubel,1958,chambre-des-représentants
BSP/PSB,,5324,Audenarde,1958,chambre-des-représentants
Parti Liberale/Liberale,,5293,Audenarde,1958,chambre-des-représentants
Volksunie,,523,Audenarde,1958,chambre-des-représentants
PSC/CVP,,12863,Audenarde,1958,chambre-des-représentants
BSP/PSB,,2945,Avelgem,1958,chambre-des-représentants
Parti Liberale/Liberale,,1379,Avelgem,1958,chambre-des-représentants
Volksunie,,145,Avelgem,1958,chambre-des-représentants
PSC/CVP,,5618,Avelgem,1958,chambre-des-représentants
Kartel Lib Soc,,1864,Bastogne,1958,chambre-des-représentants
PSC/CVP,,4759,Bastogne,1958,chambre-des-représentants
Onafhankelijken,,30,Bastogne,1958,chambre-des-représentants
KPB/PCB,,109,Beaumont,1958,chambre-des-représentants
BSP/PSB,,2009,Beaumont,1958,chambre-des-représentants
Parti Liberale/Liberale,,1005,Beaumont,1958,chambre-des-représentants
PSC/CVP,,3784,Beaumont,1958,chambre-des-représentants
Onafhankelijken,,83,Beaumont,1958,chambre-des-représentants
BSP/PSB,,2466,Beauraing,1958,chambre-des-représentants
Parti Liberale/Liberale,,1100,Beauraing,1958,chambre-des-représentants
PSC/CVP,,3889,Beauraing,1958,chambre-des-représentants
BSP/PSB,,21408,Berchem,1958,chambre-des-représentants
Parti Liberale/Liberale,,6315,Berchem,1958,chambre-des-représentants
Volksunie,,3740,Berchem,1958,chambre-des-représentants
PSC/CVP,,30058,Berchem,1958,chambre-des-représentants
Onafhankelijken,,134,Berchem,1958,chambre-des-représentants
Kartel Lib Soc,,9513,Beringen,1958,chambre-des-représentants
Volksunie,,560,Beringen,1958,chambre-des-représentants
PSC/CVP,,23431,Beringen,1958,chambre-des-représentants
Onafhankelijken,,21,Beringen,1958,chambre-des-représentants
BSP/PSB,,3832,Beveren,1958,chambre-des-représentants
Parti Liberale/Liberale,,283,Beveren,1958,chambre-des-représentants
Volksunie,,518,Beveren,1958,chambre-des-représentants
PSC/CVP,,12375,Beveren,1958,chambre-des-représentants
Kartel Lib Soc,,2354,Bilzen,1958,chambre-des-représentants
Volksunie,,1592,Bilzen,1958,chambre-des-représentants
PSC/CVP,,11659,Bilzen,1958,chambre-des-représentants
KPB/PCB,,2686,Binche,1958,chambre-des-représentants
BSP/PSB,,21092,Binche,1958,chambre-des-représentants
Parti Liberale/Liberale,,3535,Binche,1958,chambre-des-représentants
