Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
PSC/CVP,2.0,51092,Alost,1965,chambre-des-représentants
BSP/PSB,1.0,36903,Alost,1965,chambre-des-représentants
PVV/PLP,2.0,41013,Alost,1965,chambre-des-représentants
Volksunie,1.0,21231,Alost,1965,chambre-des-représentants
Communisten,,3936,Alost,1965,chambre-des-représentants
PSC/CVP,7.0,169852,Anvers,1965,chambre-des-représentants
BSP/PSB,6.0,157220,Anvers,1965,chambre-des-représentants
PVV/PLP,3.0,74481,Anvers,1965,chambre-des-représentants
Volksunie,4.0,76655,Anvers,1965,chambre-des-représentants
Communisten,,18379,Anvers,1965,chambre-des-représentants
Afzonderlijk,,486,Anvers,1965,chambre-des-représentants
De Socialist,,14937,Anvers,1965,chambre-des-représentants
KAGANOVEMUS,,890,Anvers,1965,chambre-des-représentants
PSC/CVP,,28169,Arlon,1965,chambre-des-représentants
BSP/PSB,,14248,Arlon,1965,chambre-des-représentants
PVV/PLP,,22274,Arlon,1965,chambre-des-représentants
PSC/CVP,1.0,28819,Audenarde,1965,chambre-des-représentants
BSP/PSB,1.0,16430,Audenarde,1965,chambre-des-représentants
PVV/PLP,1.0,19911,Audenarde,1965,chambre-des-représentants
Volksunie,,4178,Audenarde,1965,chambre-des-représentants
Communisten,,902,Audenarde,1965,chambre-des-représentants
PSC/CVP,2.0,55278,Bruges,1965,chambre-des-représentants
BSP/PSB,1.0,38495,Bruges,1965,chambre-des-représentants
PVV/PLP,1.0,16449,Bruges,1965,chambre-des-représentants
Volksunie,1.0,16308,Bruges,1965,chambre-des-représentants
Communisten,,1189,Bruges,1965,chambre-des-représentants
Parti National,,1394,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
PSC/CVP,8.0,195498,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
BSP/PSB,9.0,214183,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
PVV/PLP,11.0,251345,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
KPB/PCB,1.0,30650,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Volksunie,1.0,29979,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
FDF,3.0,68966,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Parti Catholique/Katholi,,14007,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
PCB/BKP,,10590,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
PSI/OSP,,1507,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Vlaamse Democraten,,6553,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Union Francophone,,3776,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Parti Travailliste belge,,2237,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Protection Animaux,,1168,Bruxelles-Hal-Vilvorde,1965,chambre-des-représentants
Front Wallon,1.0,16504,Charleroi,1965,chambre-des-représentants
Parti Communiste Wallon,,4632,Charleroi,1965,chambre-des-représentants
PSI,,1883,Charleroi,1965,chambre-des-représentants
Union Travailliste Indép,,1431,Charleroi,1965,chambre-des-représentants
Parti National,,282,Charleroi,1965,chambre-des-représentants
Communistes trotsky,,385,Charleroi,1965,chambre-des-représentants
PSC/CVP,2.0,36101,Charleroi,1965,chambre-des-représentants
BSP/PSB,5.0,95447,Charleroi,1965,chambre-des-représentants
PVV/PLP,2.0,55386,Charleroi,1965,chambre-des-représentants
KPB/PCB,1.0,23024,Charleroi,1965,chambre-des-représentants
PSC/CVP,3.0,79968,Courtrai,1965,chambre-des-représentants
BSP/PSB,1.0,36729,Courtrai,1965,chambre-des-représentants
PVV/PLP,,13290,Courtrai,1965,chambre-des-représentants
Communisten,,1658,Courtrai,1965,chambre-des-représentants
Vlaamse Volkspartij,,13451,Courtrai,1965,chambre-des-représentants
Unie der Zelfstandigen,,1014,Courtrai,1965,chambre-des-représentants
Union Travailliste Indép,,1289,Dinant,1965,chambre-des-représentants
PSC/CVP,,31875,Dinant,1965,chambre-des-représentants
BSP/PSB,,20222,Dinant,1965,chambre-des-représentants
PVV/PLP,,19883,Dinant,1965,chambre-des-représentants
KPB/PCB,,3489,Dinant,1965,chambre-des-représentants
PSC/CVP,,44337,Furnes-Dixmude-Ostende,1965,chambre-des-représentants
BSP/PSB,,29039,Furnes-Dixmude-Ostende,1965,chambre-des-représentants
PVV/PLP,,23955,Furnes-Dixmude-Ostende,1965,chambre-des-représentants
Volksunie,,16375,Furnes-Dixmude-Ostende,1965,chambre-des-représentants
Communisten,,1869,Furnes-Dixmude-Ostende,1965,chambre-des-représentants
Afzonderlijk,,4276,Furnes-Dixmude-Ostende,1965,chambre-des-représentants
PSC/CVP,6.0,145818,Gand-Eeklo,1965,chambre-des-représentants
BSP/PSB,3.0,77670,Gand-Eeklo,1965,chambre-des-représentants
PVV/PLP,2.0,56364,Gand-Eeklo,1965,chambre-des-représentants
Volksunie,2.0,39532,Gand-Eeklo,1965,chambre-des-représentants
Communisten,,5297,Gand-Eeklo,1965,chambre-des-représentants
PSC/CVP,4.0,73586,Hasselt,1965,chambre-des-représentants
BSP/PSB,1.0,22147,Hasselt,1965,chambre-des-représentants
PVV/PLP,1.0,24746,Hasselt,1965,chambre-des-représentants
Volksunie,,11761,Hasselt,1965,chambre-des-représentants
Vlaamse Democraten,,105,Hasselt,1965,chambre-des-représentants
Nat Partij Zelfstandigen,,1140,Hasselt,1965,chambre-des-représentants
PSC/CVP,5.0,20602,Huy-Waremme,1965,chambre-des-représentants
BSP/PSB,1.0,42587,Huy-Waremme,1965,chambre-des-représentants
PVV/PLP,1.0,19590,Huy-Waremme,1965,chambre-des-représentants
KPB/PCB,,8945,Huy-Waremme,1965,chambre-des-représentants
Parti Communiste Wallon,,3108,Liège,1965,chambre-des-représentants
PSC/CVP,2.0,57272,Liège,1965,chambre-des-représentants
BSP/PSB,1.0,116879,Liège,1965,chambre-des-représentants
PVV/PLP,1.0,89896,Liège,1965,chambre-des-représentants
KPB/PCB,2.0,41850,Liège,1965,chambre-des-représentants
Front Wallon des Travail,1.0,19702,Liège,1965,chambre-des-représentants
Classes Moyennes Indépen,,958,Liège,1965,chambre-des-représentants
PSC/CVP,4.0,80619,Louvain,1965,chambre-des-représentants
BSP/PSB,2.0,54369,Louvain,1965,chambre-des-représentants
PVV/PLP,2.0,60494,Louvain,1965,chambre-des-représentants
KPB/PCB,,2936,Louvain,1965,chambre-des-représentants
Volksunie,,12681,Louvain,1965,chambre-des-représentants
Vlaamse Democraten,,1056,Louvain,1965,chambre-des-représentants
PSC/CVP,3.0,70639,Malines,1965,chambre-des-représentants
BSP/PSB,2.0,47793,Malines,1965,chambre-des-représentants
PVV/PLP,1.0,21311,Malines,1965,chambre-des-représentants
Volksunie,,18362,Malines,1965,chambre-des-représentants
Communisten,,2118,Malines,1965,chambre-des-représentants
Nat Partij Zelfstandigen,,1224,Malines,1965,chambre-des-représentants
Front Wallon,,1697,Mons,1965,chambre-des-représentants
Parti Communiste Wallon,,1012,Mons,1965,chambre-des-représentants
PSI,,4417,Mons,1965,chambre-des-représentants
Rassemblement Indépendan,,1375,Mons,1965,chambre-des-représentants
PSC/CVP,1.0,21523,Mons,1965,chambre-des-représentants
BSP/PSB,3.0,58964,Mons,1965,chambre-des-représentants
PVV/PLP,1.0,27023,Mons,1965,chambre-des-représentants
KPB/PCB,1.0,23465,Mons,1965,chambre-des-représentants
Union Travailliste Indép,,2237,Namur,1965,chambre-des-représentants
PSC/CVP,2.0,37224,Namur,1965,chambre-des-représentants
BSP/PSB,2.0,42080,Namur,1965,chambre-des-représentants
PVV/PLP,1.0,30078,Namur,1965,chambre-des-représentants
