Parti,Nombre de sièges,Nombre de voix,province,date,election
CVP,7.0,260460,Anvers,1995,chambre-des-représentants
SP,5.0,188471,Anvers,1995,chambre-des-représentants
VLD,4.0,173768,Anvers,1995,chambre-des-représentants
AGALEV,2.0,96716,Anvers,1995,chambre-des-représentants
VU,1.0,71455,Anvers,1995,chambre-des-représentants
VLAAMS BLOK,5.0,189690,Anvers,1995,chambre-des-représentants
VVP,,2369,Anvers,1995,chambre-des-représentants
PVDA-AE,,8366,Anvers,1995,chambre-des-représentants
W.O.W.,,5654,Anvers,1995,chambre-des-représentants
BANAAN,,11698,Anvers,1995,chambre-des-représentants
N.W.P.,,1308,Anvers,1995,chambre-des-représentants
D,,1471,Anvers,1995,chambre-des-représentants
A.O.V.,,408,Anvers,1995,chambre-des-représentants
W.I.T.,,1316,Anvers,1995,chambre-des-représentants
B.E.B,,1970,Anvers,1995,chambre-des-représentants
PSP,,2939,Anvers,1995,chambre-des-représentants
RVM,,566,Anvers,1995,chambre-des-représentants
BEBEL,,393,Anvers,1995,chambre-des-représentants
AUTO,,1603,Anvers,1995,chambre-des-représentants
UNI.E,,1057,Anvers,1995,chambre-des-représentants
CVP,2.0,66447,Brabant flamand,1995,chambre-des-représentants
SP,2.0,81068,Brabant flamand,1995,chambre-des-représentants
VLD,3.0,68161,Brabant flamand,1995,chambre-des-représentants
AGALEV,,20479,Brabant flamand,1995,chambre-des-représentants
VU,,20837,Brabant flamand,1995,chambre-des-représentants
VLAAMS BLOK,,24577,Brabant flamand,1995,chambre-des-représentants
VVP,,488,Brabant flamand,1995,chambre-des-représentants
PVDA-AE,,1377,Brabant flamand,1995,chambre-des-représentants
W.O.W.,,2100,Brabant flamand,1995,chambre-des-représentants
BANAAN,,3202,Brabant flamand,1995,chambre-des-représentants
N.W.P.,,437,Brabant flamand,1995,chambre-des-représentants
W.I.T.,,1109,Brabant flamand,1995,chambre-des-représentants
PSC,1.0,40330,Brabant wallon,1995,chambre-des-représentants
PS,2.0,44999,Brabant wallon,1995,chambre-des-représentants
ECOLO,,25674,Brabant wallon,1995,chambre-des-représentants
PRL-FDF,2.0,76908,Brabant wallon,1995,chambre-des-représentants
UNIE,,4312,Brabant wallon,1995,chambre-des-représentants
U.R.D.,,305,Brabant wallon,1995,chambre-des-représentants
U.D.F.,,1179,Brabant wallon,1995,chambre-des-représentants
PCN,,615,Brabant wallon,1995,chambre-des-représentants
PTB-UA,,1108,Brabant wallon,1995,chambre-des-représentants
SUD-BEB,,1304,Brabant wallon,1995,chambre-des-représentants
CVP,6.0,229408,Flandre occidentale,1995,chambre-des-représentants
SP,4.0,170584,Flandre occidentale,1995,chambre-des-représentants
VLD,4.0,157324,Flandre occidentale,1995,chambre-des-représentants
AGALEV,1.0,42913,Flandre occidentale,1995,chambre-des-représentants
VU,1.0,51442,Flandre occidentale,1995,chambre-des-représentants
VLAAMS BLOK,1.0,59235,Flandre occidentale,1995,chambre-des-représentants
VVP,,1489,Flandre occidentale,1995,chambre-des-représentants
PVDA-AE,,2643,Flandre occidentale,1995,chambre-des-représentants
W.O.W.,,6254,Flandre occidentale,1995,chambre-des-représentants
BANAAN,,7889,Flandre occidentale,1995,chambre-des-représentants
N.W.P.,,1317,Flandre occidentale,1995,chambre-des-représentants
D.L.L.,,450,Flandre occidentale,1995,chambre-des-représentants
V.N.P.,,670,Flandre occidentale,1995,chambre-des-représentants
CVP,7.0,249920,Flandre orientale,1995,chambre-des-représentants
SP,4.0,163357,Flandre orientale,1995,chambre-des-représentants
VLD,6.0,221547,Flandre orientale,1995,chambre-des-représentants
AGALEV,1.0,60109,Flandre orientale,1995,chambre-des-représentants
VU,1.0,69681,Flandre orientale,1995,chambre-des-représentants
VLAAMS BLOK,2.0,101464,Flandre orientale,1995,chambre-des-représentants
VVP,,2346,Flandre orientale,1995,chambre-des-représentants
PVDA-AE,,5135,Flandre orientale,1995,chambre-des-représentants
W.O.W.,,6425,Flandre orientale,1995,chambre-des-représentants
BANAAN,,9356,Flandre orientale,1995,chambre-des-représentants
N.W.P.,,980,Flandre orientale,1995,chambre-des-représentants
W.I.T.,,511,Flandre orientale,1995,chambre-des-représentants
B.E.B,,3045,Flandre orientale,1995,chambre-des-représentants
D.S.A.,,536,Flandre orientale,1995,chambre-des-représentants
UNI.E,,1042,Flandre orientale,1995,chambre-des-représentants
PSC,4.0,152282,Hainaut,1995,chambre-des-représentants
PS,8.0,267437,Hainaut,1995,chambre-des-représentants
ECOLO,2.0,61976,Hainaut,1995,chambre-des-représentants
PRL-FDF,4.0,136660,Hainaut,1995,chambre-des-représentants
FN,1.0,55371,Hainaut,1995,chambre-des-représentants
PLN,,774,Hainaut,1995,chambre-des-représentants
PC,,6277,Hainaut,1995,chambre-des-représentants
UNIE,,1183,Hainaut,1995,chambre-des-représentants
R,,1606,Hainaut,1995,chambre-des-représentants
EMPLOI,,3812,Hainaut,1995,chambre-des-représentants
PCN,,713,Hainaut,1995,chambre-des-représentants
ADM,,831,Hainaut,1995,chambre-des-représentants
AGIR,,2628,Hainaut,1995,chambre-des-représentants
PLUS,,479,Hainaut,1995,chambre-des-représentants
BEB,,2213,Hainaut,1995,chambre-des-représentants
I.N.,,311,Hainaut,1995,chambre-des-représentants
WALLON,,6462,Hainaut,1995,chambre-des-représentants
FRW,,750,Hainaut,1995,chambre-des-représentants
PTB-UA,,5395,Hainaut,1995,chambre-des-représentants
PSC,3.0,125953,Liège,1995,chambre-des-représentants
PS,6.0,205981,Liège,1995,chambre-des-représentants
ECOLO,2.0,63904,Liège,1995,chambre-des-représentants
PRL-FDF,4.0,128895,Liège,1995,chambre-des-représentants
FN,,23631,Liège,1995,chambre-des-représentants
UNIE,,636,Liège,1995,chambre-des-représentants
BLANC,,1191,Liège,1995,chambre-des-représentants
PCN,,747,Liège,1995,chambre-des-représentants
LIGUE,,808,Liège,1995,chambre-des-représentants
AGIR,,12746,Liège,1995,chambre-des-représentants
PDA,,329,Liège,1995,chambre-des-représentants
LETD,,795,Liège,1995,chambre-des-représentants
REF,,310,Liège,1995,chambre-des-représentants
U.L.,,907,Liège,1995,chambre-des-représentants
PDB,,4426,Liège,1995,chambre-des-représentants
PTB-UA,,4654,Liège,1995,chambre-des-représentants
SUD-BEB,,510,Liège,1995,chambre-des-représentants
CVP,4.0,142842,Limbourg,1995,chambre-des-représentants
SP,3.0,108228,Limbourg,1995,chambre-des-représentants
VLD,2.0,98518,Limbourg,1995,chambre-des-représentants
AGALEV,,26858,Limbourg,1995,chambre-des-représentants
VU,1.0,37627,Limbourg,1995,chambre-des-représentants
VLAAMS BLOK,1.0,46130,Limbourg,1995,chambre-des-représentants
VVP,,723,Limbourg,1995,chambre-des-représentants
PVDA-AE,,3476,Limbourg,1995,chambre-des-représentants
W.O.W.,,3213,Limbourg,1995,chambre-des-représentants
BANAAN,,3391,Limbourg,1995,chambre-des-représentants
N.W.P.,,855,Limbourg,1995,chambre-des-représentants
A.O.V.,,866,Limbourg,1995,chambre-des-représentants
PSC,1.0,45396,Luxembourg,1995,chambre-des-représentants
PS,1.0,33870,Luxembourg,1995,chambre-des-représentants
ECOLO,,13059,Luxembourg,1995,chambre-des-représentants
PRL-FDF,1.0,40915,Luxembourg,1995,chambre-des-représentants
FN,,5780,Luxembourg,1995,chambre-des-représentants
UNIE,,1191,Luxembourg,1995,chambre-des-représentants
PTB-UA,,511,Luxembourg,1995,chambre-des-représentants
PSC,2.0,59850,Namur,1995,chambre-des-représentants
PS,2.0,81859,Namur,1995,chambre-des-représentants
ECOLO,,29723,Namur,1995,chambre-des-représentants
PRL-FDF,2.0,66622,Namur,1995,chambre-des-représentants
FN,,18050,Namur,1995,chambre-des-représentants
UNIE,,1118,Namur,1995,chambre-des-représentants
U.R.D.,,704,Namur,1995,chambre-des-représentants
PCN,,479,Namur,1995,chambre-des-représentants
PTB-UA,,1582,Namur,1995,chambre-des-représentants
SUD-BEB,,598,Namur,1995,chambre-des-représentants
