Parti,Nombre de sièges,Nombre de voix,circonscription-électorale-(provinciale),date,election
N-VA,,49028,Anvers,2003,chambre-des-représentants
sp.a-spirit,6.0,243879,Anvers,2003,chambre-des-représentants
VLAAMS BLOK,7.0,269523,Anvers,2003,chambre-des-représentants
CD&V,5.0,220127,Anvers,2003,chambre-des-représentants
VLD,6.0,243623,Anvers,2003,chambre-des-représentants
AGALEV,,50366,Anvers,2003,chambre-des-représentants
LIB. APPEL,,13588,Anvers,2003,chambre-des-représentants
RESIST,,10059,Anvers,2003,chambre-des-représentants
VIVANT,,16098,Anvers,2003,chambre-des-représentants
BELG.UNIE-BUB,,2624,Anvers,2003,chambre-des-représentants
MR,3.0,92873,Brabant wallon,2003,chambre-des-représentants
ECOLO,,20843,Brabant wallon,2003,chambre-des-représentants
CDH,1.0,31542,Brabant wallon,2003,chambre-des-représentants
PS,1.0,53902,Brabant wallon,2003,chambre-des-représentants
FN,,9071,Brabant wallon,2003,chambre-des-représentants
VIVANT.,,3685,Brabant wallon,2003,chambre-des-représentants
RWF RBF,,2886,Brabant wallon,2003,chambre-des-représentants
CDF,,4169,Brabant wallon,2003,chambre-des-représentants
MS,,568,Brabant wallon,2003,chambre-des-représentants
PC,,1150,Brabant wallon,2003,chambre-des-représentants
BELG.UNIE-BUB,,1318,Brabant wallon,2003,chambre-des-représentants
N-VA,,18634,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
sp.a-spirit,2.0,71572,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
VLAAMS BLOK,2.0,86830,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
CD&V,2.0,73776,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
VLD,3.0,97237,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
AGALEV,,13152,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
LIB. APPEL,,2631,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
veilig blauw,,862,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
MR,6.0,182290,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
ECOLO,2.0,52295,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
CDH,1.0,53129,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
PS,4.0,129434,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
FN,,18986,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
VIVANT..,,7910,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
RWF RBF,,2684,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
CDF,,10390,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
BELG.UNIE-BUB,,2462,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
FNB,,1701,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
NATION,,1090,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
RDS-PC,,2084,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
Maria,,4298,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
NOOR,,1141,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
PCP,,8258,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
PH-HP,,521,Bruxelles-Hal-Vilvorde,2003,chambre-des-représentants
N-VA,,41255,Flandre Orientale,2003,chambre-des-représentants
sp.a-spirit,5.0,213413,Flandre Orientale,2003,chambre-des-représentants
VLAAMS BLOK,4.0,162166,Flandre Orientale,2003,chambre-des-représentants
CD&V,4.0,184713,Flandre Orientale,2003,chambre-des-représentants
VLD,7.0,296999,Flandre Orientale,2003,chambre-des-représentants
AGALEV,,43737,Flandre Orientale,2003,chambre-des-représentants
LIB. APPEL,,6043,Flandre Orientale,2003,chambre-des-représentants
VIVANT,,9842,Flandre Orientale,2003,chambre-des-représentants
BUB-BEB,,1828,Flandre Orientale,2003,chambre-des-représentants
PVDA,,4085,Flandre Orientale,2003,chambre-des-représentants
LSP,,2929,Flandre Orientale,2003,chambre-des-représentants
MR,5.0,159487,Hainaut,2003,chambre-des-représentants
ECOLO,1.0,46400,Hainaut,2003,chambre-des-représentants
CDH,2.0,87975,Hainaut,2003,chambre-des-représentants
PS,10.0,320144,Hainaut,2003,chambre-des-représentants
FN,1.0,52332,Hainaut,2003,chambre-des-représentants
VIVANT.,,9092,Hainaut,2003,chambre-des-représentants
RWF RBF,,10026,Hainaut,2003,chambre-des-représentants
CDF,,8298,Hainaut,2003,chambre-des-représentants
