Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
VLAAMS BELANG,4,177012,Circonscription d'Anvers,2010,chambre-des-représentants
Lijst Dedecker,0,25081,Circonscription d'Anvers,2010,chambre-des-représentants
open vld,3,120935,Circonscription d'Anvers,2010,chambre-des-représentants
CD&V,4,170260,Circonscription d'Anvers,2010,chambre-des-représentants
SP.A,3,156976,Circonscription d'Anvers,2010,chambre-des-représentants
N-VA,8,336631,Circonscription d'Anvers,2010,chambre-des-représentants
GROEN!,2,84314,Circonscription d'Anvers,2010,chambre-des-représentants
LSP,0,2841,Circonscription d'Anvers,2010,chambre-des-représentants
PVDA+,0,22132,Circonscription d'Anvers,2010,chambre-des-représentants
VLAAMS BELANG,1,41917,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
Lijst Dedecker,0,9442,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
open vld,2,59840,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
PS,4,139660,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
MR,5,159912,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
FN,0,5476,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
CDH,2,67324,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
CD&V,2,57902,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
SP.A,1,38689,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
N-VA,3,101991,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
ECOLO,2,66681,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
GROEN!,0,25186,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
R.W.F.,0,1550,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
PTB+PVDA+,0,9313,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
Front des gauches,0,4162,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
Parti Populaire,0,21143,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
WALLONIE D'ABORD,0,3113,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
PROBRUXSEL,0,7201,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
BELG.UNIE,0,5734,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
EGALITE,0,5670,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
PIRATE PARTY,0,2200,Circonscription de Bruxelles-Hal-Vilvorde,2010,chambre-des-représentants
VLAAMS BELANG,1,71200,Circonscription de Flandre occidentale,2010,chambre-des-représentants
Lijst Dedecker,1,60210,Circonscription de Flandre occidentale,2010,chambre-des-représentants
open vld,2,106265,Circonscription de Flandre occidentale,2010,chambre-des-représentants
CD&V,4,180702,Circonscription de Flandre occidentale,2010,chambre-des-représentants
SP.A,3,118803,Circonscription de Flandre occidentale,2010,chambre-des-représentants
N-VA,4,188317,Circonscription de Flandre occidentale,2010,chambre-des-représentants
GROEN!,1,49533,Circonscription de Flandre occidentale,2010,chambre-des-représentants
LSP,0,1443,Circonscription de Flandre occidentale,2010,chambre-des-représentants
PVDA+,0,6489,Circonscription de Flandre occidentale,2010,chambre-des-représentants
V.I.T.A.L.,0,2259,Circonscription de Flandre occidentale,2010,chambre-des-représentants
VLAAMS BELANG,3,117817,Circonscription de Flandre orientale,2010,chambre-des-représentants
Lijst Dedecker,0,30463,Circonscription de Flandre orientale,2010,chambre-des-représentants
open vld,4,166278,Circonscription de Flandre orientale,2010,chambre-des-représentants
CD&V,3,147151,Circonscription de Flandre orientale,2010,chambre-des-représentants
SP.A,3,135212,Circonscription de Flandre orientale,2010,chambre-des-représentants
N-VA,6,269049,Circonscription de Flandre orientale,2010,chambre-des-représentants
GROEN!,1,70297,Circonscription de Flandre orientale,2010,chambre-des-représentants
LSP,0,1907,Circonscription de Flandre orientale,2010,chambre-des-représentants
PVDA+,0,11950,Circonscription de Flandre orientale,2010,chambre-des-représentants
RESPECT,0,5630,Circonscription de Flandre orientale,2010,chambre-des-représentants
PS,11,348184,Circonscription de Hainaut,2010,chambre-des-représentants
MR,4,126608,Circonscription de Hainaut,2010,chambre-des-représentants
FN,0,20129,Circonscription de Hainaut,2010,chambre-des-représentants
CDH,2,82924,Circonscription de Hainaut,2010,chambre-des-représentants
ECOLO,2,67993,Circonscription de Hainaut,2010,chambre-des-représentants
R.W.F.,0,11414,Circonscription de Hainaut,2010,chambre-des-représentants
PTB+,0,12136,Circonscription de Hainaut,2010,chambre-des-représentants
Front des gauches,0,5442,Circonscription de Hainaut,2010,chambre-des-représentants
MSplus,0,1031,Circonscription de Hainaut,2010,chambre-des-représentants
Parti Populaire,0,19852,Circonscription de Hainaut,2010,chambre-des-représentants
WALLONIE D'ABORD,0,13795,Circonscription de Hainaut,2010,chambre-des-représentants
W+,0,1679,Circonscription de Hainaut,2010,chambre-des-représentants
FN+,0,11553,Circonscription de Hainaut,2010,chambre-des-représentants
VIVANT,0,6211,Circonscription de Liège,2010,chambre-des-représentants
