Parti,Nombre de sièges,Nombre de voix,commune,date,election
open vld,,2802,Aalter,2019,chambre-des-représentants
N-VA,,4387,Aalter,2019,chambre-des-représentants
VLAAMS BELANG,,3371,Aalter,2019,chambre-des-représentants
CD&V,,4749,Aalter,2019,chambre-des-représentants
PVDA,,732,Aalter,2019,chambre-des-représentants
GROEN,,2211,Aalter,2019,chambre-des-représentants
SP.A,,1500,Aalter,2019,chambre-des-représentants
DierAnimal,,257,Aalter,2019,chambre-des-représentants
de coöperatie,,21,Aalter,2019,chambre-des-représentants
B.U.B,,30,Aalter,2019,chambre-des-représentants
open vld,,3203,Aarschot,2019,chambre-des-représentants
N-VA,,5301,Aarschot,2019,chambre-des-représentants
VLAAMS BELANG,,3848,Aarschot,2019,chambre-des-représentants
CD&V,,2950,Aarschot,2019,chambre-des-représentants
DéFI,,20,Aarschot,2019,chambre-des-représentants
PVDA,,1063,Aarschot,2019,chambre-des-représentants
GROEN,,1852,Aarschot,2019,chambre-des-représentants
SP.A,,2231,Aarschot,2019,chambre-des-représentants
PRO,,85,Aarschot,2019,chambre-des-représentants
BUB Belgische Unie,,86,Aarschot,2019,chambre-des-représentants
open vld,,1207,Aartselaar,2019,chambre-des-représentants
N-VA,,4346,Aartselaar,2019,chambre-des-représentants
VLAAMS BELANG,,1577,Aartselaar,2019,chambre-des-représentants
CD&V,,859,Aartselaar,2019,chambre-des-représentants
PVDA,,436,Aartselaar,2019,chambre-des-représentants
GROEN,,727,Aartselaar,2019,chambre-des-représentants
SP.A,,542,Aartselaar,2019,chambre-des-représentants
Volt,,11,Aartselaar,2019,chambre-des-représentants
DierAnimal,,74,Aartselaar,2019,chambre-des-représentants
PV&S,,2,Aartselaar,2019,chambre-des-représentants
D-SA,,9,Aartselaar,2019,chambre-des-représentants
Piratenpartij,,65,Aartselaar,2019,chambre-des-représentants
open vld,,1349,Affligem,2019,chambre-des-représentants
N-VA,,2759,Affligem,2019,chambre-des-représentants
VLAAMS BELANG,,1720,Affligem,2019,chambre-des-représentants
CD&V,,1599,Affligem,2019,chambre-des-représentants
DéFI,,48,Affligem,2019,chambre-des-représentants
PVDA,,290,Affligem,2019,chambre-des-représentants
GROEN,,564,Affligem,2019,chambre-des-représentants
SP.A,,563,Affligem,2019,chambre-des-représentants
PRO,,31,Affligem,2019,chambre-des-représentants
BUB Belgische Unie,,28,Affligem,2019,chambre-des-représentants
ECOLO,,563,Aiseau-Presles,2019,chambre-des-représentants
CDH,,584,Aiseau-Presles,2019,chambre-des-représentants
MR,,633,Aiseau-Presles,2019,chambre-des-représentants
Parti Populaire,,230,Aiseau-Presles,2019,chambre-des-représentants
VLAAMS BELANG,,52,Aiseau-Presles,2019,chambre-des-représentants
DéFI,,201,Aiseau-Presles,2019,chambre-des-représentants
PTB,,1010,Aiseau-Presles,2019,chambre-des-représentants
LISTES DESTEXHE,,83,Aiseau-Presles,2019,chambre-des-représentants
PS,,2141,Aiseau-Presles,2019,chambre-des-représentants
LA DROITE,,56,Aiseau-Presles,2019,chambre-des-représentants
PCB,,17,Aiseau-Presles,2019,chambre-des-représentants
Lutte Ouvrière,,50,Aiseau-Presles,2019,chambre-des-représentants
COLLECTIF CITOYEN,,132,Aiseau-Presles,2019,chambre-des-représentants
NATION,,46,Aiseau-Presles,2019,chambre-des-représentants
AGIR,,69,Aiseau-Presles,2019,chambre-des-représentants
open vld,,1219,Alken,2019,chambre-des-représentants
N-VA,,2253,Alken,2019,chambre-des-représentants
VLAAMS BELANG,,1314,Alken,2019,chambre-des-représentants
CD&V,,1306,Alken,2019,chambre-des-représentants
PVDA,,308,Alken,2019,chambre-des-représentants
GROEN,,850,Alken,2019,chambre-des-représentants
SP.A,,843,Alken,2019,chambre-des-représentants
PRO,,14,Alken,2019,chambre-des-représentants
D-SA,,9,Alken,2019,chambre-des-représentants
open vld,,7333,Alost,2019,chambre-des-représentants
N-VA,,14655,Alost,2019,chambre-des-représentants
VLAAMS BELANG,,13768,Alost,2019,chambre-des-représentants
CD&V,,5285,Alost,2019,chambre-des-représentants
PVDA,,2440,Alost,2019,chambre-des-représentants
GROEN,,4361,Alost,2019,chambre-des-représentants
SP.A,,5370,Alost,2019,chambre-des-représentants
DierAnimal,,746,Alost,2019,chambre-des-représentants
de coöperatie,,121,Alost,2019,chambre-des-représentants
B.U.B,,51,Alost,2019,chambre-des-représentants
open vld,,358,Alveringem,2019,chambre-des-représentants
N-VA,,840,Alveringem,2019,chambre-des-représentants
