Parti,Nombre de sièges,Nombre de voix,commune,date,election
SP,,514,Aalter,1988,conseils-communaux
CVP,18.0,7050,Aalter,1988,conseils-communaux
VU,4.0,1800,Aalter,1988,conseils-communaux
AGALEV,2.0,1153,Aalter,1988,conseils-communaux
PVV,1.0,962,Aalter,1988,conseils-communaux
SP,6.0,3903,Aarschot,1988,conseils-communaux
CVP,11.0,6175,Aarschot,1988,conseils-communaux
VU,1.0,1256,Aarschot,1988,conseils-communaux
AGALEV,,837,Aarschot,1988,conseils-communaux
PVV,11.0,6217,Aarschot,1988,conseils-communaux
VLAAMS BLOK,,653,Aarschot,1988,conseils-communaux
SP,2.0,1042,Aartselaar,1988,conseils-communaux
CVP,7.0,2361,Aartselaar,1988,conseils-communaux
VU,2.0,979,Aartselaar,1988,conseils-communaux
PVV,6.0,2186,Aartselaar,1988,conseils-communaux
VBA,3.0,1438,Aartselaar,1988,conseils-communaux
NAP,3.0,1302,Aartselaar,1988,conseils-communaux
SP,1.0,791,Affligem Hekelgem,1988,conseils-communaux
CVP,7.0,2806,Affligem Hekelgem,1988,conseils-communaux
VU,3.0,1263,Affligem Hekelgem,1988,conseils-communaux
PVV,10.0,3444,Affligem Hekelgem,1988,conseils-communaux
PS,10.0,2506,Aiseau-Presles,1988,conseils-communaux
PRL,2.0,729,Aiseau-Presles,1988,conseils-communaux
ICP,9.0,2144,Aiseau-Presles,1988,conseils-communaux
SP,3.0,1347,Alken,1988,conseils-communaux
CVP,11.0,3405,Alken,1988,conseils-communaux
PVV,7.0,2307,Alken,1988,conseils-communaux
SP,11.0,13202,Alost,1988,conseils-communaux
CVP,11.0,13081,Alost,1988,conseils-communaux
VU,4.0,6348,Alost,1988,conseils-communaux
AGALEV,1.0,2971,Alost,1988,conseils-communaux
PVV,11.0,13158,Alost,1988,conseils-communaux
VLAAMS BLOK,,946,Alost,1988,conseils-communaux
VD,3.0,4798,Alost,1988,conseils-communaux
KP,,672,Alost,1988,conseils-communaux
CVP,8.0,1542,Alveringem,1988,conseils-communaux
Gem.Bel.,9.0,1836,Alveringem,1988,conseils-communaux
VOLKS B,,179,Alveringem,1988,conseils-communaux
PS,18.0,6088,Amay,1988,conseils-communaux
ARC,5.0,2059,Amay,1988,conseils-communaux
LISTE 12,9.0,1933,Amblève,1988,conseils-communaux
LISTE 13,6.0,1414,Amblève,1988,conseils-communaux
PS,21.0,9986,Andenne,1988,conseils-communaux
ECOLO,,831,Andenne,1988,conseils-communaux
AN.2000,6.0,3406,Andenne,1988,conseils-communaux
PRL-FDF,14.0,11690,Anderlecht,1988,conseils-communaux
ECOLO,5.0,4947,Anderlecht,1988,conseils-communaux
VLAAMS BLOK,,1162,Anderlecht,1988,conseils-communaux
PTB-PVA,,202,Anderlecht,1988,conseils-communaux
PSC,3.0,3748,Anderlecht,1988,conseils-communaux
LB,20.0,16968,Anderlecht,1988,conseils-communaux
KARTEL,3.0,3518,Anderlecht,1988,conseils-communaux
EVA,,301,Anderlecht,1988,conseils-communaux
FN NFN,,1389,Anderlecht,1988,conseils-communaux
PFN,,570,Anderlecht,1988,conseils-communaux
PSD,,1013,Anderlecht,1988,conseils-communaux
PS,14.0,3818,Anderlues,1988,conseils-communaux
IC,7.0,2079,Anderlues,1988,conseils-communaux
RPW,,448,Anderlues,1988,conseils-communaux
AVENIR,2.0,750,Anhee,1988,conseils-communaux
UN.TR.,8.0,1835,Anhee,1988,conseils-communaux
INT.COM.,7.0,1715,Anhee,1988,conseils-communaux
PS,17.0,8087,Ans,1988,conseils-communaux
PSC,6.0,3555,Ans,1988,conseils-communaux
ECOLO,2.0,1731,Ans,1988,conseils-communaux
PRL,4.0,2657,Ans,1988,conseils-communaux
PS,4.0,757,Anthisnes,1988,conseils-communaux
RC,7.0,1137,Anthisnes,1988,conseils-communaux
VIVRE,2.0,487,Anthisnes,1988,conseils-communaux
PS,15.0,3445,Antoing,1988,conseils-communaux
ECOLO,,429,Antoing,1988,conseils-communaux
IC,4.0,1234,Antoing,1988,conseils-communaux
SP,17.0,88135,Anvers,1988,conseils-communaux
CVP,12.0,61312,Anvers,1988,conseils-communaux
VU,4.0,25803,Anvers,1988,conseils-communaux
AGALEV,5.0,28190,Anvers,1988,conseils-communaux
PVV,7.0,37594,Anvers,1988,conseils-communaux
VLAAMS BLOK,10.0,54163,Anvers,1988,conseils-communaux
PVDA,,5827,Anvers,1988,conseils-communaux
SAP-KP,,2182,Anvers,1988,conseils-communaux
NP,,2897,Anvers,1988,conseils-communaux
SP,1.0,816,Anzegem,1988,conseils-communaux
CVP,8.0,2648,Anzegem,1988,conseils-communaux
VU,,481,Anzegem,1988,conseils-communaux
AGALEV,,447,Anzegem,1988,conseils-communaux
Gem.Bel.,13.0,4234,Anzegem,1988,conseils-communaux
RED,1.0,855,Anzegem,1988,conseils-communaux
SP,2.0,850,Ardooie,1988,conseils-communaux
CVP,10.0,3036,Ardooie,1988,conseils-communaux
GR82,9.0,2795,Ardooie,1988,conseils-communaux
SP,5.0,1854,Arendonk,1988,conseils-communaux
CVP,12.0,3483,Arendonk,1988,conseils-communaux
VU,2.0,801,Arendonk,1988,conseils-communaux
AGALEV,1.0,645,Arendonk,1988,conseils-communaux
PVV,1.0,580,Arendonk,1988,conseils-communaux
PS,8.0,3932,Arlon,1988,conseils-communaux
PSC,9.0,4535,Arlon,1988,conseils-communaux
PRL,7.0,3836,Arlon,1988,conseils-communaux
ECOLO,1.0,867,Arlon,1988,conseils-communaux
GERONS,2.0,1459,Arlon,1988,conseils-communaux
SP,3.0,801,As,1988,conseils-communaux
CVP,6.0,1526,As,1988,conseils-communaux
TRUYEN,8.0,1991,As,1988,conseils-communaux
SP,4.0,2569,Asse,1988,conseils-communaux
CVP,14.0,7524,Asse,1988,conseils-communaux
VU,3.0,2018,Asse,1988,conseils-communaux
AGALEV,1.0,1018,Asse,1988,conseils-communaux
PVV,6.0,3637,Asse,1988,conseils-communaux
VLAAMS BLOK,,599,Asse,1988,conseils-communaux
RL,1.0,1413,Asse,1988,conseils-communaux
SP,5.0,1894,Assenede,1988,conseils-communaux
CVP,12.0,4149,Assenede,1988,conseils-communaux
VU,2.0,1141,Assenede,1988,conseils-communaux
AGALEV,,515,Assenede,1988,conseils-communaux
PVV,4.0,1758,Assenede,1988,conseils-communaux
UCA,12.0,2381,Assesse,1988,conseils-communaux
ICGA,5.0,1115,Assesse,1988,conseils-communaux
PS,17.0,9882,Ath,1988,conseils-communaux
PRL,6.0,3716,Ath,1988,conseils-communaux
PC,,303,Ath,1988,conseils-communaux
INT.COM,4.0,2623,Ath,1988,conseils-communaux
LISTE 12,8.0,1354,Attert,1988,conseils-communaux
UNION,3.0,715,Attert,1988,conseils-communaux
PS,10.0,3391,Aubange,1988,conseils-communaux
