Parti,Nombre de sièges,Nombre de voix,district-communal,date,election
AGALEV,6.0,13500,Anvers,2000,conseils-communaux
SP,7.0,16610,Anvers,2000,conseils-communaux
CVP,3.0,8783,Anvers,2000,conseils-communaux
VU-ID,,2152,Anvers,2000,conseils-communaux
VLD,7.0,15752,Anvers,2000,conseils-communaux
VLAAMS BLOK,10.0,23754,Anvers,2000,conseils-communaux
VIVANT,,1743,Anvers,2000,conseils-communaux
PVDA,,1487,Anvers,2000,conseils-communaux
W.O.W.,,716,Anvers,2000,conseils-communaux
AGALEV,4.0,4017,Berchem,2000,conseils-communaux
SP,3.0,3341,Berchem,2000,conseils-communaux
CVP,3.0,3400,Berchem,2000,conseils-communaux
VU-ID,1.0,1185,Berchem,2000,conseils-communaux
VLD,6.0,5483,Berchem,2000,conseils-communaux
VLAAMS BLOK,6.0,6245,Berchem,2000,conseils-communaux
VIVANT,,469,Berchem,2000,conseils-communaux
PVDA,,320,Berchem,2000,conseils-communaux
W.O.W.,,225,Berchem,2000,conseils-communaux
AGALEV,1.0,478,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
SP,5.0,1819,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
CVP,1.0,456,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
VLD,2.0,953,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
VLAAMS BLOK,5.0,1777,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
W.O.W.,,104,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
POLDER,1.0,536,Berendrecht-Zandvliet-Lillo,2000,conseils-communaux
AGALEV,4.0,3335,Borgerhout,2000,conseils-communaux
SP,3.0,3044,Borgerhout,2000,conseils-communaux
CVP,3.0,2684,Borgerhout,2000,conseils-communaux
VU-ID,1.0,798,Borgerhout,2000,conseils-communaux
VLD,3.0,2821,Borgerhout,2000,conseils-communaux
VLAAMS BLOK,9.0,7464,Borgerhout,2000,conseils-communaux
VIVANT,,292,Borgerhout,2000,conseils-communaux
PVDA,,481,Borgerhout,2000,conseils-communaux
W.O.W.,,242,Borgerhout,2000,conseils-communaux
AGALEV,3.0,4460,Deurne,2000,conseils-communaux
SP,5.0,8126,Deurne,2000,conseils-communaux
CVP,2.0,4249,Deurne,2000,conseils-communaux
VU-ID,1.0,1430,Deurne,2000,conseils-communaux
VLD,5.0,7097,Deurne,2000,conseils-communaux
VLAAMS BLOK,11.0,16927,Deurne,2000,conseils-communaux
VIVANT,,724,Deurne,2000,conseils-communaux
PVDA,,1089,Deurne,2000,conseils-communaux
W.O.W.,,588,Deurne,2000,conseils-communaux
AGALEV,2.0,1451,Ekeren,2000,conseils-communaux
SP,2.0,1861,Ekeren,2000,conseils-communaux
CVP,3.0,2125,Ekeren,2000,conseils-communaux
VU-ID,,563,Ekeren,2000,conseils-communaux
VLD,3.0,2205,Ekeren,2000,conseils-communaux
VLAAMS BLOK,7.0,4347,Ekeren,2000,conseils-communaux
VIVANT,,354,Ekeren,2000,conseils-communaux
PVDA,,130,Ekeren,2000,conseils-communaux
EKEREN,2.0,1730,Ekeren,2000,conseils-communaux
AGALEV,1.0,1460,Hoboken,2000,conseils-communaux
SP,5.0,4568,Hoboken,2000,conseils-communaux
CVP,2.0,2479,Hoboken,2000,conseils-communaux
VU-ID,,742,Hoboken,2000,conseils-communaux
VLD,3.0,2495,Hoboken,2000,conseils-communaux
VLAAMS BLOK,9.0,8010,Hoboken,2000,conseils-communaux
PVDA,1.0,1454,Hoboken,2000,conseils-communaux
W.O.W.,,238,Hoboken,2000,conseils-communaux
AGALEV,2.0,2691,Merksem,2000,conseils-communaux
SP,4.0,4146,Merksem,2000,conseils-communaux
CVP,4.0,3968,Merksem,2000,conseils-communaux
VU-ID,1.0,1299,Merksem,2000,conseils-communaux
VLD,5.0,4612,Merksem,2000,conseils-communaux
VLAAMS BLOK,9.0,9212,Merksem,2000,conseils-communaux
VIVANT,,384,Merksem,2000,conseils-communaux
W.O.W.,,290,Merksem,2000,conseils-communaux
AGALEV,3.0,2991,Wilrijk,2000,conseils-communaux
SP,3.0,3509,Wilrijk,2000,conseils-communaux
CVP,4.0,4064,Wilrijk,2000,conseils-communaux
VU-ID,1.0,1448,Wilrijk,2000,conseils-communaux
VLD,5.0,5678,Wilrijk,2000,conseils-communaux
VLAAMS BLOK,7.0,6639,Wilrijk,2000,conseils-communaux
VIVANT,,334,Wilrijk,2000,conseils-communaux
PVDA,,327,Wilrijk,2000,conseils-communaux
W.O.W.,,333,Wilrijk,2000,conseils-communaux
