Parti,Nombre de sièges,Nombre de voix,canton,date,election
Socialist,,6943,Beringen,1961,conseils-provinciaux
CVP,,19474,Beringen,1961,conseils-provinciaux
Liberal,,6380,Beringen,1961,conseils-provinciaux
Volksunie,,1439,Beringen,1961,conseils-provinciaux
Socialist,,4431,Bilzen,1961,conseils-provinciaux
CVP,,22437,Bilzen,1961,conseils-provinciaux
Liberal,,3977,Bilzen,1961,conseils-provinciaux
Volksunie,,2005,Bilzen,1961,conseils-provinciaux
Socialist,,2642,Bree,1961,conseils-provinciaux
CVP,,19420,Bree,1961,conseils-provinciaux
Liberal,,1684,Bree,1961,conseils-provinciaux
Volksunie,,1024,Bree,1961,conseils-provinciaux
Socialist,,12377,Hasselt,1961,conseils-provinciaux
CVP,,32823,Hasselt,1961,conseils-provinciaux
Liberal,,3726,Hasselt,1961,conseils-provinciaux
Volksunie,,3406,Hasselt,1961,conseils-provinciaux
Socialist,,2255,Herck-la-Ville,1961,conseils-provinciaux
CVP,,11616,Herck-la-Ville,1961,conseils-provinciaux
Liberal,,1528,Herck-la-Ville,1961,conseils-provinciaux
Volksunie,,861,Herck-la-Ville,1961,conseils-provinciaux
Socialist,,3893,Looz,1961,conseils-provinciaux
CVP,,11570,Looz,1961,conseils-provinciaux
Liberal,,3398,Looz,1961,conseils-provinciaux
Volksunie,,319,Looz,1961,conseils-provinciaux
Socialist,,1280,Maaseik,1961,conseils-provinciaux
CVP,,9300,Maaseik,1961,conseils-provinciaux
Liberal,,1732,Maaseik,1961,conseils-provinciaux
Volksunie,,616,Maaseik,1961,conseils-provinciaux
ANDERE,,1723,Maaseik,1961,conseils-provinciaux
Socialist,,3395,Neerpelt,1961,conseils-provinciaux
CVP,,16178,Neerpelt,1961,conseils-provinciaux
Liberal,,1250,Neerpelt,1961,conseils-provinciaux
Volksunie,,836,Neerpelt,1961,conseils-provinciaux
ANDERE,,1160,Neerpelt,1961,conseils-provinciaux
Socialist,,7479,Saint-Trond,1961,conseils-provinciaux
CVP,,13344,Saint-Trond,1961,conseils-provinciaux
Liberal,,4172,Saint-Trond,1961,conseils-provinciaux
Volksunie,,958,Saint-Trond,1961,conseils-provinciaux
Socialist,,7236,Tongres,1961,conseils-provinciaux
CVP,,17327,Tongres,1961,conseils-provinciaux
Liberal,,2720,Tongres,1961,conseils-provinciaux
Volksunie,,858,Tongres,1961,conseils-provinciaux
