Parti,Nombre de sièges,Nombre de voix,district,date,election
CVP,2.0,18537,Alost,1968,conseils-provinciaux
BSP,2.0,14184,Alost,1968,conseils-provinciaux
PVV,2.0,13425,Alost,1968,conseils-provinciaux
VU,1.0,11660,Alost,1968,conseils-provinciaux
Communist,,1460,Alost,1968,conseils-provinciaux
RW,,1015,Andenne,1968,conseils-provinciaux
PSB,1.0,4393,Andenne,1968,conseils-provinciaux
PCB,,426,Andenne,1968,conseils-provinciaux
PSC,1.0,2470,Andenne,1968,conseils-provinciaux
PLP,1.0,2729,Andenne,1968,conseils-provinciaux
FDF-RW,1.0,10369,Anderlecht,1968,conseils-provinciaux
Volksunie,1.0,5657,Anderlecht,1968,conseils-provinciaux
PSB,2.0,30753,Anderlecht,1968,conseils-provinciaux
COMMUNIST MOSCOU,,2189,Anderlecht,1968,conseils-provinciaux
VDB,1.0,17450,Anderlecht,1968,conseils-provinciaux
PLP-PVV,1.0,14716,Anderlecht,1968,conseils-provinciaux
COMMUNIST PEKING,,415,Anderlecht,1968,conseils-provinciaux
PSI SOP,,205,Anderlecht,1968,conseils-provinciaux
CVP,4.0,36367,Anvers,1968,conseils-provinciaux
BSP,7.0,64642,Anvers,1968,conseils-provinciaux
PVV,3.0,27579,Anvers,1968,conseils-provinciaux
VU,4.0,31998,Anvers,1968,conseils-provinciaux
Communist,1.0,7573,Anvers,1968,conseils-provinciaux
PROGRESISTEN,,261,Anvers,1968,conseils-provinciaux
KAGANO,,902,Anvers,1968,conseils-provinciaux
PSB,3.0,7612,Arlon,1968,conseils-provinciaux
PSC,5.0,9541,Arlon,1968,conseils-provinciaux
PLP,3.0,6952,Arlon,1968,conseils-provinciaux
RW,,2218,Ath,1968,conseils-provinciaux
PSB,2.0,17167,Ath,1968,conseils-provinciaux
PCB,,2476,Ath,1968,conseils-provinciaux
PSC,1.0,7838,Ath,1968,conseils-provinciaux
PLP,2.0,13898,Ath,1968,conseils-provinciaux
PSB,,1223,Bastogne,1968,conseils-provinciaux
PSC,3.0,5833,Bastogne,1968,conseils-provinciaux
PLP,2.0,3707,Bastogne,1968,conseils-provinciaux
CVP,5.0,18780,Beringen,1968,conseils-provinciaux
BSP,1.0,6633,Beringen,1968,conseils-provinciaux
PVV,2.0,6698,Beringen,1968,conseils-provinciaux
VU,1.0,4708,Beringen,1968,conseils-provinciaux
CVP,2.0,9010,Bilzen,1968,conseils-provinciaux
