Parti,Nombre de sièges,Nombre de voix,province,date,election
CVP,42.0,394182,Anvers,1978,conseils-provinciaux
BSP,21.0,207585,Anvers,1978,conseils-provinciaux
PVV,14.0,134874,Anvers,1978,conseils-provinciaux
AGALEV,,8344,Anvers,1978,conseils-provinciaux
VU,10.0,104169,Anvers,1978,conseils-provinciaux
VLAAMS BLOK,2.0,27292,Anvers,1978,conseils-provinciaux
KP,1.0,22349,Anvers,1978,conseils-provinciaux
AMADA,,17589,Anvers,1978,conseils-provinciaux
PVCM,,1258,Anvers,1978,conseils-provinciaux
RAD,,4685,Anvers,1978,conseils-provinciaux
KAGANO,,1236,Anvers,1978,conseils-provinciaux
BPP,,122,Anvers,1978,conseils-provinciaux
CVP,20.0,228520,Brabant,1978,conseils-provinciaux
BSP,8.0,102418,Brabant,1978,conseils-provinciaux
PVV,9.0,116327,Brabant,1978,conseils-provinciaux
VU,4.0,74191,Brabant,1978,conseils-provinciaux
VLAAMS BLOK,,22248,Brabant,1978,conseils-provinciaux
PSC,9.0,117593,Brabant,1978,conseils-provinciaux
RW,2.0,25267,Brabant,1978,conseils-provinciaux
PSB,10.0,130332,Brabant,1978,conseils-provinciaux
PL,4.0,49143,Brabant,1978,conseils-provinciaux
PVCM,,193,Brabant,1978,conseils-provinciaux
FDF,22.0,244680,Brabant,1978,conseils-provinciaux
LSDP,,5100,Brabant,1978,conseils-provinciaux
KPB/PCB,,34938,Brabant,1978,conseils-provinciaux
PNB-BNP,,1131,Brabant,1978,conseils-provinciaux
AMADA,,9298,Brabant,1978,conseils-provinciaux
PRLW,2.0,27215,Brabant,1978,conseils-provinciaux
DCA,,211,Brabant,1978,conseils-provinciaux
UDRT-RAD,,25788,Brabant,1978,conseils-provinciaux
TPO,,560,Brabant,1978,conseils-provinciaux
PLF,,2297,Brabant,1978,conseils-provinciaux
CVP,46.0,292679,Flandre occidentale,1978,conseils-provinciaux
BSP,21.0,136662,Flandre occidentale,1978,conseils-provinciaux
PVV,14.0,100813,Flandre occidentale,1978,conseils-provinciaux
VU,9.0,82704,Flandre occidentale,1978,conseils-provinciaux
VLAAMS BLOK,,4397,Flandre occidentale,1978,conseils-provinciaux
KPB,,7627,Flandre occidentale,1978,conseils-provinciaux
CVP,42.0,331671,Flandre orientale,1978,conseils-provinciaux
BSP,19.0,158394,Flandre orientale,1978,conseils-provinciaux
PVV,19.0,165841,Flandre orientale,1978,conseils-provinciaux
VU,9.0,103532,Flandre orientale,1978,conseils-provinciaux
VLAAMS BLOK,,16707,Flandre orientale,1978,conseils-provinciaux
AMADA,,6516,Flandre orientale,1978,conseils-provinciaux
PVCM,,134,Flandre orientale,1978,conseils-provinciaux
RAD,,2196,Flandre orientale,1978,conseils-provinciaux
KPB,1.0,17010,Flandre orientale,1978,conseils-provinciaux
PF-ECO,,1177,Flandre orientale,1978,conseils-provinciaux
JAN,,995,Flandre orientale,1978,conseils-provinciaux
PSC,25.0,164630,Hainaut,1978,conseils-provinciaux
PSB,42.0,278940,Hainaut,1978,conseils-provinciaux
PRLW,13.0,99493,Hainaut,1978,conseils-provinciaux
RW,5.0,59437,Hainaut,1978,conseils-provinciaux
PCB,5.0,59380,Hainaut,1978,conseils-provinciaux
AUTRE,,16943,Hainaut,1978,conseils-provinciaux
PSC,26.0,144202,Liège,1978,conseils-provinciaux
PSB,37.0,205431,Liège,1978,conseils-provinciaux
PRLW,17.0,94894,Liège,1978,conseils-provinciaux
RW,5.0,44620,Liège,1978,conseils-provinciaux
PCB,4.0,32393,Liège,1978,conseils-provinciaux
PDB,1.0,9476,Liège,1978,conseils-provinciaux
PNB,,175,Liège,1978,conseils-provinciaux
PPB,,1535,Liège,1978,conseils-provinciaux
TPO,,1775,Liège,1978,conseils-provinciaux
PFN,,537,Liège,1978,conseils-provinciaux
PLW,,2956,Liège,1978,conseils-provinciaux
UDRT,,2662,Liège,1978,conseils-provinciaux
CVP,36.0,177290,Limbourg,1978,conseils-provinciaux
BSP,14.0,79466,Limbourg,1978,conseils-provinciaux
PVV,10.0,52649,Limbourg,1978,conseils-provinciaux
VU,10.0,52437,Limbourg,1978,conseils-provinciaux
VLAAMS BLOK,,1733,Limbourg,1978,conseils-provinciaux
AMADA,,3173,Limbourg,1978,conseils-provinciaux
KPB,,462,Limbourg,1978,conseils-provinciaux
PSC,25.0,54496,Luxembourg,1978,conseils-provinciaux
PSB,14.0,33920,Luxembourg,1978,conseils-provinciaux
PRLW,11.0,28178,Luxembourg,1978,conseils-provinciaux
RW,,6495,Luxembourg,1978,conseils-provinciaux
AUTRE,,1645,Luxembourg,1978,conseils-provinciaux
PSC,22.0,76530,Namur,1978,conseils-provinciaux
PSB,21.0,76305,Namur,1978,conseils-provinciaux
PRLW,11.0,40032,Namur,1978,conseils-provinciaux
RW,6.0,25108,Namur,1978,conseils-provinciaux
UDRT,,3309,Namur,1978,conseils-provinciaux
PC,,4861,Namur,1978,conseils-provinciaux
