Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
AGALEV,,9825,Alost,1985,conseils-provinciaux
SP,5.0,43500,Alost,1985,conseils-provinciaux
VU,3.0,26283,Alost,1985,conseils-provinciaux
CVP,6.0,56125,Alost,1985,conseils-provinciaux
PVV,4.0,38089,Alost,1985,conseils-provinciaux
VLAAMS BLOK,,3485,Alost,1985,conseils-provinciaux
KPB,,1482,Alost,1985,conseils-provinciaux
SAP,,281,Alost,1985,conseils-provinciaux
AGALEV,5.0,61292,Anvers,1985,conseils-provinciaux
SP,13.0,141170,Anvers,1985,conseils-provinciaux
VLAAMS BLOK,2.0,31613,Anvers,1985,conseils-provinciaux
VU,7.0,79259,Anvers,1985,conseils-provinciaux
CVP,16.0,169076,Anvers,1985,conseils-provinciaux
PVV,8.0,88589,Anvers,1985,conseils-provinciaux
PVDA,1.0,16256,Anvers,1985,conseils-provinciaux
KPB,,4563,Anvers,1985,conseils-provinciaux
RAD,,2167,Anvers,1985,conseils-provinciaux
SAP,,1658,Anvers,1985,conseils-provinciaux
PKS,,1247,Anvers,1985,conseils-provinciaux
PRL,4.0,8304,Arlon,1985,conseils-provinciaux
PS,3.0,7606,Arlon,1985,conseils-provinciaux
PSC,4.0,9332,Arlon,1985,conseils-provinciaux
ECOLO,,1871,Arlon,1985,conseils-provinciaux
SEP,,881,Arlon,1985,conseils-provinciaux
UDRT,,751,Arlon,1985,conseils-provinciaux
PRL,1.0,14648,Ath,1985,conseils-provinciaux
PS,3.0,22725,Ath,1985,conseils-provinciaux
ECOLO,,2470,Ath,1985,conseils-provinciaux
PSC,1.0,7648,Ath,1985,conseils-provinciaux
SEP,,368,Ath,1985,conseils-provinciaux
PCB,,1024,Ath,1985,conseils-provinciaux
PCN,,95,Ath,1985,conseils-provinciaux
AGALEV,,3791,Audenarde,1985,conseils-provinciaux
SP,2.0,19052,Audenarde,1985,conseils-provinciaux
VU,,4349,Audenarde,1985,conseils-provinciaux
CVP,3.0,24941,Audenarde,1985,conseils-provinciaux
PVV,3.0,22423,Audenarde,1985,conseils-provinciaux
VLAAMS BLOK,,824,Audenarde,1985,conseils-provinciaux
PRL,4.0,10566,Bastogne,1985,conseils-provinciaux
PS,1.0,3823,Bastogne,1985,conseils-provinciaux
PSC,3.0,7981,Bastogne,1985,conseils-provinciaux
ECOLO,,899,Bastogne,1985,conseils-provinciaux
SEP,,208,Bastogne,1985,conseils-provinciaux
AGALEV,1.0,13498,Bruges,1985,conseils-provinciaux
SP,6.0,42150,Bruges,1985,conseils-provinciaux
VU,3.0,21425,Bruges,1985,conseils-provinciaux
CVP,8.0,62034,Bruges,1985,conseils-provinciaux
PVV,3.0,25250,Bruges,1985,conseils-provinciaux
VLAAMS BLOK,,2224,Bruges,1985,conseils-provinciaux
KPB,,771,Bruges,1985,conseils-provinciaux
VVP,,421,Bruges,1985,conseils-provinciaux
PVDA,,888,Bruges,1985,conseils-provinciaux
PRL,14.0,147280,Bruxelles,1985,conseils-provinciaux
PS,8.0,94174,Bruxelles,1985,conseils-provinciaux
AGALEV,,22060,Bruxelles,1985,conseils-provinciaux
SP,5.0,59761,Bruxelles,1985,conseils-provinciaux
PSC,6.0,64844,Bruxelles,1985,conseils-provinciaux
VU,5.0,56791,Bruxelles,1985,conseils-provinciaux
CVP,11.0,117812,Bruxelles,1985,conseils-provinciaux
PVV,6.0,64558,Bruxelles,1985,conseils-provinciaux
FDF,7.0,78006,Bruxelles,1985,conseils-provinciaux
ECOLO,,38248,Bruxelles,1985,conseils-provinciaux
SEP,,5172,Bruxelles,1985,conseils-provinciaux
VLAAMS BLOK,,14148,Bruxelles,1985,conseils-provinciaux
PCB-KPB,,8301,Bruxelles,1985,conseils-provinciaux
PW,,150,Bruxelles,1985,conseils-provinciaux
UDRT-RAD,,33107,Bruxelles,1985,conseils-provinciaux
UND,,3750,Bruxelles,1985,conseils-provinciaux
POS_SAP,,831,Bruxelles,1985,conseils-provinciaux
PLC,,3150,Bruxelles,1985,conseils-provinciaux
PTB-PVDA,,2193,Bruxelles,1985,conseils-provinciaux
FN-NF,,2462,Bruxelles,1985,conseils-provinciaux
FORCES,,1329,Bruxelles,1985,conseils-provinciaux
DVA,,944,Bruxelles,1985,conseils-provinciaux
URD,,854,Bruxelles,1985,conseils-provinciaux
DCA-EU,,94,Bruxelles,1985,conseils-provinciaux
PRL,6.0,41094,Charleroi,1985,conseils-provinciaux
PS,16.0,103287,Charleroi,1985,conseils-provinciaux
ECOLO,3.0,19437,Charleroi,1985,conseils-provinciaux
PSC,6.0,41249,Charleroi,1985,conseils-provinciaux
SEP,,2666,Charleroi,1985,conseils-provinciaux
PCB,,9407,Charleroi,1985,conseils-provinciaux
PW,,3202,Charleroi,1985,conseils-provinciaux
UDRT,,4498,Charleroi,1985,conseils-provinciaux
POS,,907,Charleroi,1985,conseils-provinciaux
PCN,,693,Charleroi,1985,conseils-provinciaux
PTB,,2381,Charleroi,1985,conseils-provinciaux
AGALEV,1.0,11709,Courtrai,1985,conseils-provinciaux
SP,6.0,45042,Courtrai,1985,conseils-provinciaux
VU,2.0,20572,Courtrai,1985,conseils-provinciaux
CVP,10.0,71513,Courtrai,1985,conseils-provinciaux
PVV,4.0,28254,Courtrai,1985,conseils-provinciaux
VLAAMS BLOK,,1432,Courtrai,1985,conseils-provinciaux
KPB,,1069,Courtrai,1985,conseils-provinciaux
PVDA,,1341,Courtrai,1985,conseils-provinciaux
PLC,,203,Courtrai,1985,conseils-provinciaux
PRL,4.0,18337,Dinant,1985,conseils-provinciaux
PS,4.0,16642,Dinant,1985,conseils-provinciaux
ECOLO,,3305,Dinant,1985,conseils-provinciaux
PSC,5.0,18409,Dinant,1985,conseils-provinciaux
SEP,,445,Dinant,1985,conseils-provinciaux
POS,,152,Dinant,1985,conseils-provinciaux
AGALEV,,1157,Dixsmude,1985,conseils-provinciaux
SP,1.0,7191,Dixsmude,1985,conseils-provinciaux
VU,,2900,Dixsmude,1985,conseils-provinciaux
CVP,2.0,11426,Dixsmude,1985,conseils-provinciaux
