Parti,Nombre de sièges,Nombre de voix,canton,date,election
PFF,,3374,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
ProDG,,4115,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
VIVANT,,1399,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
ECOLO,,2426,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
SP,,3836,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
CSP,,4922,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,256,Canton d'Eupen,2014,parlement-de-la-communauté-germanophone
PFF,,2473,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
ProDG,,4237,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
VIVANT,,2595,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
ECOLO,,1164,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
SP,,2211,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
CSP,,4429,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
Parti Libertarien,,176,Canton de Saint-Vith,2014,parlement-de-la-communauté-germanophone
