Parti,Nombre de sièges,Nombre de voix,commune,date,election
VIVANT,,828,Amblève,2019,parlement-de-la-communauté-germanophone
ECOLO,,309,Amblève,2019,parlement-de-la-communauté-germanophone
ProDG,,786,Amblève,2019,parlement-de-la-communauté-germanophone
CSP,,692,Amblève,2019,parlement-de-la-communauté-germanophone
PFF-MR,,283,Amblève,2019,parlement-de-la-communauté-germanophone
SP,,495,Amblève,2019,parlement-de-la-communauté-germanophone
VIVANT,,877,Bullange,2019,parlement-de-la-communauté-germanophone
ECOLO,,171,Bullange,2019,parlement-de-la-communauté-germanophone
ProDG,,826,Bullange,2019,parlement-de-la-communauté-germanophone
CSP,,567,Bullange,2019,parlement-de-la-communauté-germanophone
PFF-MR,,460,Bullange,2019,parlement-de-la-communauté-germanophone
SP,,411,Bullange,2019,parlement-de-la-communauté-germanophone
VIVANT,,312,Burg-Reuland,2019,parlement-de-la-communauté-germanophone
ECOLO,,270,Burg-Reuland,2019,parlement-de-la-communauté-germanophone
ProDG,,533,Burg-Reuland,2019,parlement-de-la-communauté-germanophone
CSP,,660,Burg-Reuland,2019,parlement-de-la-communauté-germanophone
PFF-MR,,162,Burg-Reuland,2019,parlement-de-la-communauté-germanophone
SP,,215,Burg-Reuland,2019,parlement-de-la-communauté-germanophone
VIVANT,,910,Butgenbach,2019,parlement-de-la-communauté-germanophone
ECOLO,,341,Butgenbach,2019,parlement-de-la-communauté-germanophone
ProDG,,669,Butgenbach,2019,parlement-de-la-communauté-germanophone
CSP,,584,Butgenbach,2019,parlement-de-la-communauté-germanophone
PFF-MR,,321,Butgenbach,2019,parlement-de-la-communauté-germanophone
SP,,526,Butgenbach,2019,parlement-de-la-communauté-germanophone
VIVANT,,996,Eupen,2019,parlement-de-la-communauté-germanophone
ECOLO,,1763,Eupen,2019,parlement-de-la-communauté-germanophone
ProDG,,2615,Eupen,2019,parlement-de-la-communauté-germanophone
CSP,,2327,Eupen,2019,parlement-de-la-communauté-germanophone
PFF-MR,,1164,Eupen,2019,parlement-de-la-communauté-germanophone
SP,,1828,Eupen,2019,parlement-de-la-communauté-germanophone
VIVANT,,284,La Calamine,2019,parlement-de-la-communauté-germanophone
ECOLO,,516,La Calamine,2019,parlement-de-la-communauté-germanophone
ProDG,,739,La Calamine,2019,parlement-de-la-communauté-germanophone
CSP,,1276,La Calamine,2019,parlement-de-la-communauté-germanophone
PFF-MR,,482,La Calamine,2019,parlement-de-la-communauté-germanophone
SP,,907,La Calamine,2019,parlement-de-la-communauté-germanophone
VIVANT,,211,Lontzen,2019,parlement-de-la-communauté-germanophone
ECOLO,,420,Lontzen,2019,parlement-de-la-communauté-germanophone
ProDG,,580,Lontzen,2019,parlement-de-la-communauté-germanophone
CSP,,677,Lontzen,2019,parlement-de-la-communauté-germanophone
PFF-MR,,474,Lontzen,2019,parlement-de-la-communauté-germanophone
SP,,401,Lontzen,2019,parlement-de-la-communauté-germanophone
VIVANT,,427,Raeren,2019,parlement-de-la-communauté-germanophone
ECOLO,,521,Raeren,2019,parlement-de-la-communauté-germanophone
ProDG,,773,Raeren,2019,parlement-de-la-communauté-germanophone
CSP,,852,Raeren,2019,parlement-de-la-communauté-germanophone
PFF-MR,,470,Raeren,2019,parlement-de-la-communauté-germanophone
SP,,398,Raeren,2019,parlement-de-la-communauté-germanophone
VIVANT,,962,Saint-Vith,2019,parlement-de-la-communauté-germanophone
ECOLO,,591,Saint-Vith,2019,parlement-de-la-communauté-germanophone
ProDG,,1625,Saint-Vith,2019,parlement-de-la-communauté-germanophone
CSP,,1434,Saint-Vith,2019,parlement-de-la-communauté-germanophone
PFF-MR,,638,Saint-Vith,2019,parlement-de-la-communauté-germanophone
SP,,639,Saint-Vith,2019,parlement-de-la-communauté-germanophone
