Parti,Nombre de sièges,Nombre de voix,canton,date,election
ECOLO,,8407,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PRL-FDF,,13094,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BLOK,,3820,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
CVP,,2494,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PS,,9368,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PSC,,2833,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
VIVANT,,815,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
FN,,2002,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
FNB,,837,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PNPB*,,105,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PC,,480,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PTB-UA,,182,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
VLD-VU-O,,1983,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
SP-AGA,,2418,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
A,,69,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PSD,,108,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PH,,31,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
ZUT,,143,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
PMTJ,,27,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
D.MARET,,287,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
ICB,,57,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
TARTE,,108,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
DD,,30,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
La G.P.,,33,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
BLOC WL,,117,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
MARS,,89,Anderlecht,1999,parlement-de-la-région-de-bruxelles-capitale
