Parti,Nombre de sièges,Nombre de voix,commune,date,election
ECOLO,,5613,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,715,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,2177,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,5505,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,834,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,1452,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,962,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,540,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,2901,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,7395,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,694,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,913,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,10295,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,310,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,155,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,1232,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,182,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,441,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,117,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,106,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,432,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,187,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,91,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,68,Anderlecht,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,3059,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,340,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
CDH,,745,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
MR,,2695,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
Parti Populaire,,239,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
N-VA,,317,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
VLAAMS BELANG,,130,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
CD&V,,143,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
DéFI,,4219,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
PTB,,864,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
LISTES DESTEXHE,,475,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
GROEN,,447,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
PS,,1333,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
PVDA,,54,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
Agora,,137,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
one.brussels-sp.a,,179,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
act-SALEM,,14,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
DierAnimal,,201,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
PLAN B,,25,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
Hé,,8,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
Be.One,,24,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
COLLECTIF CITOYEN,,71,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
DIERANIMAL - NL,,28,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
be@eu,,9,Auderghem,2019,parlement-de-la-région-de-bruxelles-capitale
ECOLO,,1398,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
open vld,,565,Berchem-Sainte-Agathe,2019,parlement-de-la-région-de-bruxelles-capitale
