Parti,Nombre de sièges,Nombre de voix,province,date,election
CVP-EVP,,466956,Anvers,1979,parlement-européen
BSP,,216615,Anvers,1979,parlement-européen
PVV-ELD,,105059,Anvers,1979,parlement-européen
AGALEV,,27386,Anvers,1979,parlement-européen
VU,,83138,Anvers,1979,parlement-européen
V.V.P.,,11527,Anvers,1979,parlement-européen
RAL,,3704,Anvers,1979,parlement-européen
AMADA,,15010,Anvers,1979,parlement-européen
KPB,,13101,Anvers,1979,parlement-européen
CVP-EVP,,273535,Brabant,1979,parlement-européen
BSP,,106305,Brabant,1979,parlement-européen
PVV-ELD,,106397,Brabant,1979,parlement-européen
AGALEV,,13512,Brabant,1979,parlement-européen
VU,,65355,Brabant,1979,parlement-européen
V.V.P.,,6814,Brabant,1979,parlement-européen
RAL,,2045,Brabant,1979,parlement-européen
AMADA,,4983,Brabant,1979,parlement-européen
PSC-PPE,,83207,Brabant,1979,parlement-européen
PS-SP,,93721,Brabant,1979,parlement-européen
PRL,,121154,Brabant,1979,parlement-européen
ECOLO,,35456,Brabant,1979,parlement-européen
FDF-RW,,220169,Brabant,1979,parlement-européen
P.F.U,,2822,Brabant,1979,parlement-européen
E-NON,,6538,Brabant,1979,parlement-européen
T.P.O.,,2927,Brabant,1979,parlement-européen
L.R.T.,,1909,Brabant,1979,parlement-européen
PLW-PLE,,3370,Brabant,1979,parlement-européen
P.P.B.,,2268,Brabant,1979,parlement-européen
P.O.E.,,998,Brabant,1979,parlement-européen
KPB,,6467,Brabant,1979,parlement-européen
PCB,,18570,Brabant,1979,parlement-européen
CVP-EVP,,306981,Flandre occidentale,1979,parlement-européen
BSP,,134844,Flandre occidentale,1979,parlement-européen
PVV-ELD,,100167,Flandre occidentale,1979,parlement-européen
AGALEV,,12277,Flandre occidentale,1979,parlement-européen
VU,,59184,Flandre occidentale,1979,parlement-européen
V.V.P.,,4931,Flandre occidentale,1979,parlement-européen
RAL,,1576,Flandre occidentale,1979,parlement-européen
AMADA,,5327,Flandre occidentale,1979,parlement-européen
KPB,,6735,Flandre occidentale,1979,parlement-européen
CVP-EVP,,366450,Flandre orientale,1979,parlement-européen
BSP,,161841,Flandre orientale,1979,parlement-européen
PVV-ELD,,157418,Flandre orientale,1979,parlement-européen
AGALEV,,16892,Flandre orientale,1979,parlement-européen
VU,,81361,Flandre orientale,1979,parlement-européen
V.V.P.,,6775,Flandre orientale,1979,parlement-européen
RAL,,2426,Flandre orientale,1979,parlement-européen
AMADA,,6523,Flandre orientale,1979,parlement-européen
KPB,,11351,Flandre orientale,1979,parlement-européen
PSC-PPE,,137909,Hainaut,1979,parlement-européen
PS-SP,,243911,Hainaut,1979,parlement-européen
PRL,,90641,Hainaut,1979,parlement-européen
ECOLO,,23097,Hainaut,1979,parlement-européen
FDF-RW,,82065,Hainaut,1979,parlement-européen
P.F.U,,2067,Hainaut,1979,parlement-européen
E-NON,,5847,Hainaut,1979,parlement-européen
T.P.O.,,2694,Hainaut,1979,parlement-européen
L.R.T.,,2440,Hainaut,1979,parlement-européen
PLW-PLE,,8297,Hainaut,1979,parlement-européen
P.P.B.,,2341,Hainaut,1979,parlement-européen
P.O.E.,,1744,Hainaut,1979,parlement-européen
PCB,,50083,Hainaut,1979,parlement-européen
PSC-PPE,,117737,Liège,1979,parlement-européen
PS-SP,,163991,Liège,1979,parlement-européen
PRL,,99535,Liège,1979,parlement-européen
ECOLO,,30860,Liège,1979,parlement-européen
FDF-RW,,61284,Liège,1979,parlement-européen
P.F.U,,1467,Liège,1979,parlement-européen
E-NON,,6407,Liège,1979,parlement-européen
T.P.O.,,2119,Liège,1979,parlement-européen
L.R.T.,,1084,Liège,1979,parlement-européen
PLW-PLE,,3652,Liège,1979,parlement-européen
P.P.B.,,3434,Liège,1979,parlement-européen
P.O.E.,,1176,Liège,1979,parlement-européen
PCB,,28186,Liège,1979,parlement-européen
CVP-EVP,,194019,Limbourg,1979,parlement-européen
BSP,,79284,Limbourg,1979,parlement-européen
PVV-ELD,,43322,Limbourg,1979,parlement-européen
AGALEV,,7919,Limbourg,1979,parlement-européen
VU,,35502,Limbourg,1979,parlement-européen
V.V.P.,,4659,Limbourg,1979,parlement-européen
RAL,,951,Limbourg,1979,parlement-européen
AMADA,,4759,Limbourg,1979,parlement-européen
KPB,,2119,Limbourg,1979,parlement-européen
PSC-PPE,,51941,Luxembourg,1979,parlement-européen
PS-SP,,17989,Luxembourg,1979,parlement-européen
PRL,,24483,Luxembourg,1979,parlement-européen
ECOLO,,4534,Luxembourg,1979,parlement-européen
FDF-RW,,10486,Luxembourg,1979,parlement-européen
P.F.U,,320,Luxembourg,1979,parlement-européen
E-NON,,1598,Luxembourg,1979,parlement-européen
T.P.O.,,436,Luxembourg,1979,parlement-européen
L.R.T.,,236,Luxembourg,1979,parlement-européen
PLW-PLE,,553,Luxembourg,1979,parlement-européen
P.P.B.,,766,Luxembourg,1979,parlement-européen
P.O.E.,,234,Luxembourg,1979,parlement-européen
PCB,,3141,Luxembourg,1979,parlement-européen
PSC-PPE,,55118,Namur,1979,parlement-européen
PS-SP,,56212,Namur,1979,parlement-européen
PRL,,37091,Namur,1979,parlement-européen
ECOLO,,13886,Namur,1979,parlement-européen
FDF-RW,,40599,Namur,1979,parlement-européen
P.F.U,,597,Namur,1979,parlement-européen
E-NON,,1797,Namur,1979,parlement-européen
T.P.O.,,645,Namur,1979,parlement-européen
L.R.T.,,540,Namur,1979,parlement-européen
PLW-PLE,,1694,Namur,1979,parlement-européen
P.P.B.,,895,Namur,1979,parlement-européen
P.O.E.,,465,Namur,1979,parlement-européen
PCB,,6043,Namur,1979,parlement-européen
