Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
CVP-EVP,,48646,Alost,1984,parlement-européen
SP,,48248,Alost,1984,parlement-européen
PVV-ELD,,30953,Alost,1984,parlement-européen
AGALEV,,9264,Alost,1984,parlement-européen
VU-EVA,,25320,Alost,1984,parlement-européen
VLAAMS BLOK,,2895,Alost,1984,parlement-européen
KPB,,1959,Alost,1984,parlement-européen
PVDA,,618,Alost,1984,parlement-européen
SAP-RAL,,655,Alost,1984,parlement-européen
CVP-EVP,,164810,Anvers,1984,parlement-européen
SP,,159231,Anvers,1984,parlement-européen
PVV-ELD,,66369,Anvers,1984,parlement-européen
AGALEV,,59505,Anvers,1984,parlement-européen
VU-EVA,,72044,Anvers,1984,parlement-européen
VLAAMS BLOK,,24334,Anvers,1984,parlement-européen
KPB,,5499,Anvers,1984,parlement-européen
PVDA,,9108,Anvers,1984,parlement-européen
SAP-RAL,,4101,Anvers,1984,parlement-européen
PSC,,25095,Arlon-Marche-Bastogne,1984,parlement-européen
PS,,20079,Arlon-Marche-Bastogne,1984,parlement-européen
PRL,,20127,Arlon-Marche-Bastogne,1984,parlement-européen
ECOLO,,5478,Arlon-Marche-Bastogne,1984,parlement-européen
FDF-CFE,,1218,Arlon-Marche-Bastogne,1984,parlement-européen
PWE,,1098,Arlon-Marche-Bastogne,1984,parlement-européen
PCB,,1047,Arlon-Marche-Bastogne,1984,parlement-européen
POS-LRT,,216,Arlon-Marche-Bastogne,1984,parlement-européen
PTB,,294,Arlon-Marche-Bastogne,1984,parlement-européen
CVP-EVP,,22139,Audenarde,1984,parlement-européen
SP,,19384,Audenarde,1984,parlement-européen
PVV-ELD,,19474,Audenarde,1984,parlement-européen
AGALEV,,2984,Audenarde,1984,parlement-européen
VU-EVA,,5473,Audenarde,1984,parlement-européen
VLAAMS BLOK,,689,Audenarde,1984,parlement-européen
KPB,,351,Audenarde,1984,parlement-européen
PVDA,,237,Audenarde,1984,parlement-européen
SAP-RAL,,198,Audenarde,1984,parlement-européen
CVP-EVP,,49162,Bruges,1984,parlement-européen
SP,,48292,Bruges,1984,parlement-européen
PVV-ELD,,22649,Bruges,1984,parlement-européen
AGALEV,,12919,Bruges,1984,parlement-européen
VU-EVA,,19512,Bruges,1984,parlement-européen
VLAAMS BLOK,,2345,Bruges,1984,parlement-européen
KPB,,1149,Bruges,1984,parlement-européen
PVDA,,1078,Bruges,1984,parlement-européen
SAP-RAL,,622,Bruges,1984,parlement-européen
CVP-EVP,,102859,Bruxelles,1984,parlement-européen
SP,,71803,Bruxelles,1984,parlement-européen
PVV-ELD,,51003,Bruxelles,1984,parlement-européen
AGALEV,,20423,Bruxelles,1984,parlement-européen
VU-EVA,,57629,Bruxelles,1984,parlement-européen
VLAAMS BLOK,,9142,Bruxelles,1984,parlement-européen
PSC,,54140,Bruxelles,1984,parlement-européen
PS,,76817,Bruxelles,1984,parlement-européen
PRL,,161574,Bruxelles,1984,parlement-européen
ECOLO,,52745,Bruxelles,1984,parlement-européen
FDF-CFE,,96121,Bruxelles,1984,parlement-européen
PWE,,3346,Bruxelles,1984,parlement-européen
PCB,,7775,Bruxelles,1984,parlement-européen
KPB,,2866,Bruxelles,1984,parlement-européen
POS-LRT,,2427,Bruxelles,1984,parlement-européen
PVDA,,2107,Bruxelles,1984,parlement-européen
PTB,,2618,Bruxelles,1984,parlement-européen
SAP-RAL,,1378,Bruxelles,1984,parlement-européen
PSC,,37135,Charleroi,1984,parlement-européen
PS,,99601,Charleroi,1984,parlement-européen
PRL,,37175,Charleroi,1984,parlement-européen
ECOLO,,22196,Charleroi,1984,parlement-européen
FDF-CFE,,6440,Charleroi,1984,parlement-européen
PWE,,7318,Charleroi,1984,parlement-européen
PCB,,8853,Charleroi,1984,parlement-européen
POS-LRT,,1521,Charleroi,1984,parlement-européen
PTB,,2094,Charleroi,1984,parlement-européen
CVP-EVP,,64692,Courtrai,1984,parlement-européen
SP,,50867,Courtrai,1984,parlement-européen
PVV-ELD,,22923,Courtrai,1984,parlement-européen
AGALEV,,10679,Courtrai,1984,parlement-européen
VU-EVA,,18192,Courtrai,1984,parlement-européen
VLAAMS BLOK,,1606,Courtrai,1984,parlement-européen
KPB,,1268,Courtrai,1984,parlement-européen
PVDA,,1214,Courtrai,1984,parlement-européen
SAP-RAL,,445,Courtrai,1984,parlement-européen
PSC,,26124,Dinant-Philippeville,1984,parlement-européen
PS,,28446,Dinant-Philippeville,1984,parlement-européen
PRL,,20672,Dinant-Philippeville,1984,parlement-européen
ECOLO,,6612,Dinant-Philippeville,1984,parlement-européen
FDF-CFE,,2067,Dinant-Philippeville,1984,parlement-européen
PWE,,2601,Dinant-Philippeville,1984,parlement-européen
PCB,,1003,Dinant-Philippeville,1984,parlement-européen
POS-LRT,,301,Dinant-Philippeville,1984,parlement-européen
PTB,,314,Dinant-Philippeville,1984,parlement-européen
CVP-EVP,,39854,Furnes-Dixmude-Ostende,1984,parlement-européen
SP,,39135,Furnes-Dixmude-Ostende,1984,parlement-européen
PVV-ELD,,24702,Furnes-Dixmude-Ostende,1984,parlement-européen
AGALEV,,7964,Furnes-Dixmude-Ostende,1984,parlement-européen
VU-EVA,,23099,Furnes-Dixmude-Ostende,1984,parlement-européen
VLAAMS BLOK,,2371,Furnes-Dixmude-Ostende,1984,parlement-européen
KPB,,1396,Furnes-Dixmude-Ostende,1984,parlement-européen
PVDA,,727,Furnes-Dixmude-Ostende,1984,parlement-européen
SAP-RAL,,504,Furnes-Dixmude-Ostende,1984,parlement-européen
CVP-EVP,,110947,Gand-Eeklo,1984,parlement-européen
SP,,97723,Gand-Eeklo,1984,parlement-européen
PVV-ELD,,56629,Gand-Eeklo,1984,parlement-européen
AGALEV,,28790,Gand-Eeklo,1984,parlement-européen
VU-EVA,,46621,Gand-Eeklo,1984,parlement-européen
VLAAMS BLOK,,6164,Gand-Eeklo,1984,parlement-européen
KPB,,3171,Gand-Eeklo,1984,parlement-européen
PVDA,,2770,Gand-Eeklo,1984,parlement-européen
SAP-RAL,,1504,Gand-Eeklo,1984,parlement-européen
CVP-EVP,,64235,Hasselt,1984,parlement-européen
SP,,75287,Hasselt,1984,parlement-européen
PVV-ELD,,21105,Hasselt,1984,parlement-européen
AGALEV,,10887,Hasselt,1984,parlement-européen
VU-EVA,,25066,Hasselt,1984,parlement-européen
VLAAMS BLOK,,2302,Hasselt,1984,parlement-européen
KPB,,872,Hasselt,1984,parlement-européen
PVDA,,2539,Hasselt,1984,parlement-européen
SAP-RAL,,769,Hasselt,1984,parlement-européen
PSC,,18643,Huy-Waremme,1984,parlement-européen
PS,,47912,Huy-Waremme,1984,parlement-européen
PRL,,16870,Huy-Waremme,1984,parlement-européen
ECOLO,,6466,Huy-Waremme,1984,parlement-européen
FDF-CFE,,1463,Huy-Waremme,1984,parlement-européen
PWE,,1346,Huy-Waremme,1984,parlement-européen
PCB,,2274,Huy-Waremme,1984,parlement-européen
POS-LRT,,286,Huy-Waremme,1984,parlement-européen
PTB,,368,Huy-Waremme,1984,parlement-européen
PSC,,52846,Liège,1984,parlement-européen
PS,,146364,Liège,1984,parlement-européen
