Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
PSC,2.0,476795,College électoral français,1989,parlement-européen
PS,5.0,854207,College électoral français,1989,parlement-européen
PRL,2.0,423479,College électoral français,1989,parlement-européen
ECOLO,2.0,371053,College électoral français,1989,parlement-européen
ERE-FDF,,85867,College électoral français,1989,parlement-européen
LETD,,5503,College électoral français,1989,parlement-européen
P.H.-H.P.,,4342,College électoral français,1989,parlement-européen
POS,,10117,College électoral français,1989,parlement-européen
PTB,,9031,College électoral français,1989,parlement-européen
CVP,5.0,1247075,College électoral néerlandais,1989,parlement-européen
SP,3.0,733242,College électoral néerlandais,1989,parlement-européen
PVV,2.0,625561,College électoral néerlandais,1989,parlement-européen
AGALEV-GR,1.0,446539,College électoral néerlandais,1989,parlement-européen
VU-EVA,1.0,318153,College électoral néerlandais,1989,parlement-européen
VLAAMS BLOK,1.0,241117,College électoral néerlandais,1989,parlement-européen
PVDA,,20747,College électoral néerlandais,1989,parlement-européen
REGEBO,,26472,College électoral néerlandais,1989,parlement-européen
