Parti,Nombre de sièges,Nombre de voix,canton,date,election
CVP,,7937,Aarschot,1994,parlement-européen
SP,,6662,Aarschot,1994,parlement-européen
VLD,,5486,Aarschot,1994,parlement-européen
AGALEV,,3079,Aarschot,1994,parlement-européen
VU,,2293,Aarschot,1994,parlement-européen
VLAAMS BLOK,,2880,Aarschot,1994,parlement-européen
PVDA,,310,Aarschot,1994,parlement-européen
B.E.B,,112,Aarschot,1994,parlement-européen
N.W.P.,,200,Aarschot,1994,parlement-européen
W.O.W.,,762,Aarschot,1994,parlement-européen
R.G.B.,,101,Aarschot,1994,parlement-européen
CVP,,17765,Alost,1994,parlement-européen
SP,,13158,Alost,1994,parlement-européen
VLD,,15915,Alost,1994,parlement-européen
AGALEV,,6531,Alost,1994,parlement-européen
VU,,7317,Alost,1994,parlement-européen
VLAAMS BLOK,,10162,Alost,1994,parlement-européen
PVDA,,638,Alost,1994,parlement-européen
B.E.B,,245,Alost,1994,parlement-européen
N.W.P.,,282,Alost,1994,parlement-européen
W.O.W.,,2097,Alost,1994,parlement-européen
R.G.B.,,434,Alost,1994,parlement-européen
PSC,,3645,Andenne,1994,parlement-européen
PS,,7013,Andenne,1994,parlement-européen
ECOLO,,2390,Andenne,1994,parlement-européen
PRL-FDF,,3438,Andenne,1994,parlement-européen
FN,,1251,Andenne,1994,parlement-européen
LETD,,49,Andenne,1994,parlement-européen
SUD,,77,Andenne,1994,parlement-européen
G.U.,,140,Andenne,1994,parlement-européen
AGIR,,680,Andenne,1994,parlement-européen
P.H.-H.P.,,29,Andenne,1994,parlement-européen
PVDA/PTB,,61,Andenne,1994,parlement-européen
CVP,,3815,Anderlecht,1994,parlement-européen
SP,,1917,Anderlecht,1994,parlement-européen
VLD,,1993,Anderlecht,1994,parlement-européen
AGALEV,,871,Anderlecht,1994,parlement-européen
VU,,680,Anderlecht,1994,parlement-européen
VLAAMS BLOK,,3015,Anderlecht,1994,parlement-européen
PSC,,2872,Anderlecht,1994,parlement-européen
PS,,7967,Anderlecht,1994,parlement-européen
ECOLO,,5417,Anderlecht,1994,parlement-européen
PRL-FDF,,13204,Anderlecht,1994,parlement-européen
FN,,5822,Anderlecht,1994,parlement-européen
LETD,,242,Anderlecht,1994,parlement-européen
SUD,,195,Anderlecht,1994,parlement-européen
G.U.,,630,Anderlecht,1994,parlement-européen
AGIR,,288,Anderlecht,1994,parlement-européen
P.H.-H.P.,,137,Anderlecht,1994,parlement-européen
PVDA/PTB,,390,Anderlecht,1994,parlement-européen
PVDA,,141,Anderlecht,1994,parlement-européen
B.E.B,,206,Anderlecht,1994,parlement-européen
N.W.P.,,77,Anderlecht,1994,parlement-européen
W.O.W.,,435,Anderlecht,1994,parlement-européen
R.G.B.,,106,Anderlecht,1994,parlement-européen
PSC,,2445,Antoing,1994,parlement-européen
PS,,4974,Antoing,1994,parlement-européen
ECOLO,,1269,Antoing,1994,parlement-européen
PRL-FDF,,1778,Antoing,1994,parlement-européen
FN,,694,Antoing,1994,parlement-européen
LETD,,46,Antoing,1994,parlement-européen
SUD,,32,Antoing,1994,parlement-européen
G.U.,,127,Antoing,1994,parlement-européen
AGIR,,90,Antoing,1994,parlement-européen
P.H.-H.P.,,17,Antoing,1994,parlement-européen
PVDA/PTB,,43,Antoing,1994,parlement-européen
CVP,,44359,Anvers,1994,parlement-européen
SP,,55604,Anvers,1994,parlement-européen
VLD,,37816,Anvers,1994,parlement-européen
AGALEV,,34264,Anvers,1994,parlement-européen
VU,,12833,Anvers,1994,parlement-européen
VLAAMS BLOK,,68852,Anvers,1994,parlement-européen
PVDA,,5657,Anvers,1994,parlement-européen
B.E.B,,2198,Anvers,1994,parlement-européen
N.W.P.,,1732,Anvers,1994,parlement-européen
W.O.W.,,20495,Anvers,1994,parlement-européen
R.G.B.,,2450,Anvers,1994,parlement-européen
CVP,,10544,Arendonk,1994,parlement-européen
SP,,3734,Arendonk,1994,parlement-européen
VLD,,3258,Arendonk,1994,parlement-européen
AGALEV,,2626,Arendonk,1994,parlement-européen
VU,,1408,Arendonk,1994,parlement-européen
VLAAMS BLOK,,2603,Arendonk,1994,parlement-européen
PVDA,,247,Arendonk,1994,parlement-européen
B.E.B,,89,Arendonk,1994,parlement-européen
N.W.P.,,132,Arendonk,1994,parlement-européen
