Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
GROEN,,9696,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
VB,,3548,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
open vld,,30094,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
SP.A,,7652,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
N-VA,,8835,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
CD&V,,7266,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
PVDA+,,1107,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
MR,,99344,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
FDF,,33515,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
ECOLO,,62306,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
PS,,114341,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
CDH,,40733,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
Parti Populaire,,11682,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
PTB-GO!,,19053,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
Stand Up USE,,1918,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
MG,,559,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
VEGA,,3363,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
LA DROITE,,3086,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
DEBOUT LES BELGES,,13694,Circonscription Electorale de Bruxelles-Capitale,2014,parlement-européen
GROEN,,436457,Circonscription Electorale Flamande,2014,parlement-européen
VLAAMS BELANG,,280798,Circonscription Electorale Flamande,2014,parlement-européen
open vld,,822354,Circonscription Electorale Flamande,2014,parlement-européen
SP.A,,546874,Circonscription Electorale Flamande,2014,parlement-européen
N-VA,,1111143,Circonscription Electorale Flamande,2014,parlement-européen
CD&V,,831447,Circonscription Electorale Flamande,2014,parlement-européen
PVDA+,,99999,Circonscription Electorale Flamande,2014,parlement-européen
PFF,,6197,Circonscription Electorale Germanophone,2014,parlement-européen
PRO DG,,5106,Circonscription Electorale Germanophone,2014,parlement-européen
VIVANT,,3319,Circonscription Electorale Germanophone,2014,parlement-européen
ECOLO,,6429,Circonscription Electorale Germanophone,2014,parlement-européen
SP,,5835,Circonscription Electorale Germanophone,2014,parlement-européen
CSP,,11710,Circonscription Electorale Germanophone,2014,parlement-européen
MR,,552565,Circonscription Electorale Wallonne,2014,parlement-européen
FDF,,45644,Circonscription Electorale Wallonne,2014,parlement-européen
ECOLO,,219553,Circonscription Electorale Wallonne,2014,parlement-européen
PS,,597270,Circonscription Electorale Wallonne,2014,parlement-européen
CDH,,234628,Circonscription Electorale Wallonne,2014,parlement-européen
Parti Populaire,,133610,Circonscription Electorale Wallonne,2014,parlement-européen
PTB-GO!,,114399,Circonscription Electorale Wallonne,2014,parlement-européen
Stand Up USE,,5835,Circonscription Electorale Wallonne,2014,parlement-européen
MG,,4126,Circonscription Electorale Wallonne,2014,parlement-européen
VEGA,,11749,Circonscription Electorale Wallonne,2014,parlement-européen
LA DROITE,,35598,Circonscription Electorale Wallonne,2014,parlement-européen
DEBOUT LES BELGES,,58658,Circonscription Electorale Wallonne,2014,parlement-européen
