Parti,Nombre de sièges,Nombre de voix,commune,date,election
open vld,,3467,Aalter,2019,parlement-européen
N-VA,,3861,Aalter,2019,parlement-européen
VLAAMS BELANG,,3485,Aalter,2019,parlement-européen
CD&V,,4551,Aalter,2019,parlement-européen
PVDA,,536,Aalter,2019,parlement-européen
GROEN,,2593,Aalter,2019,parlement-européen
SP.A,,1506,Aalter,2019,parlement-européen
Volt,,70,Aalter,2019,parlement-européen
open vld,,3864,Aarschot,2019,parlement-européen
N-VA,,4080,Aarschot,2019,parlement-européen
VLAAMS BELANG,,4074,Aarschot,2019,parlement-européen
CD&V,,2844,Aarschot,2019,parlement-européen
PVDA,,1010,Aarschot,2019,parlement-européen
GROEN,,2338,Aarschot,2019,parlement-européen
SP.A,,2116,Aarschot,2019,parlement-européen
Volt,,145,Aarschot,2019,parlement-européen
open vld,,1654,Aartselaar,2019,parlement-européen
N-VA,,3573,Aartselaar,2019,parlement-européen
VLAAMS BELANG,,1630,Aartselaar,2019,parlement-européen
CD&V,,1064,Aartselaar,2019,parlement-européen
PVDA,,350,Aartselaar,2019,parlement-européen
GROEN,,970,Aartselaar,2019,parlement-européen
SP.A,,565,Aartselaar,2019,parlement-européen
Volt,,43,Aartselaar,2019,parlement-européen
open vld,,1677,Affligem,2019,parlement-européen
N-VA,,2406,Affligem,2019,parlement-européen
VLAAMS BELANG,,1797,Affligem,2019,parlement-européen
CD&V,,1356,Affligem,2019,parlement-européen
PVDA,,281,Affligem,2019,parlement-européen
GROEN,,788,Affligem,2019,parlement-européen
SP.A,,588,Affligem,2019,parlement-européen
Volt,,28,Affligem,2019,parlement-européen
ECOLO,,709,Aiseau-Presles,2019,parlement-européen
CDH,,474,Aiseau-Presles,2019,parlement-européen
MR,,649,Aiseau-Presles,2019,parlement-européen
Parti Populaire,,388,Aiseau-Presles,2019,parlement-européen
DéFI,,285,Aiseau-Presles,2019,parlement-européen
PTB,,1155,Aiseau-Presles,2019,parlement-européen
PS,,2208,Aiseau-Presles,2019,parlement-européen
open vld,,1437,Alken,2019,parlement-européen
N-VA,,1966,Alken,2019,parlement-européen
VLAAMS BELANG,,1395,Alken,2019,parlement-européen
CD&V,,1337,Alken,2019,parlement-européen
PVDA,,280,Alken,2019,parlement-européen
GROEN,,910,Alken,2019,parlement-européen
SP.A,,726,Alken,2019,parlement-européen
Volt,,34,Alken,2019,parlement-européen
open vld,,8195,Alost,2019,parlement-européen
N-VA,,12979,Alost,2019,parlement-européen
VLAAMS BELANG,,14157,Alost,2019,parlement-européen
CD&V,,5614,Alost,2019,parlement-européen
PVDA,,2172,Alost,2019,parlement-européen
GROEN,,5437,Alost,2019,parlement-européen
SP.A,,5507,Alost,2019,parlement-européen
Volt,,189,Alost,2019,parlement-européen
open vld,,412,Alveringem,2019,parlement-européen
N-VA,,748,Alveringem,2019,parlement-européen
VLAAMS BELANG,,794,Alveringem,2019,parlement-européen
CD&V,,783,Alveringem,2019,parlement-européen
PVDA,,83,Alveringem,2019,parlement-européen
GROEN,,244,Alveringem,2019,parlement-européen
