Parti,Nombre de sièges,Nombre de voix,canton,date,election
GROEN,,2595,Canton d'Aarschot,2014,parlement-flamand
VLAAMS BELANG,,2177,Canton d'Aarschot,2014,parlement-flamand
OpenVld,,6882,Canton d'Aarschot,2014,parlement-flamand
U F,,33,Canton d'Aarschot,2014,parlement-flamand
SP.A,,4752,Canton d'Aarschot,2014,parlement-flamand
N-VA,,10597,Canton d'Aarschot,2014,parlement-flamand
CD&V,,6604,Canton d'Aarschot,2014,parlement-flamand
PVDA+,,720,Canton d'Aarschot,2014,parlement-flamand
VCP,,49,Canton d'Aarschot,2014,parlement-flamand
ROSSEM,,116,Canton d'Aarschot,2014,parlement-flamand
ROEL,,50,Canton d'Aarschot,2014,parlement-flamand
GENOEG,,83,Canton d'Aarschot,2014,parlement-flamand
Piratenpartij,,274,Canton d'Aarschot,2014,parlement-flamand
GROEN,,5171,Canton d'Alost,2014,parlement-flamand
VLAAMS BELANG,,5967,Canton d'Alost,2014,parlement-flamand
OpenVld,,12686,Canton d'Alost,2014,parlement-flamand
SP.A,,9319,Canton d'Alost,2014,parlement-flamand
N-VA,,30306,Canton d'Alost,2014,parlement-flamand
CD&V,,13392,Canton d'Alost,2014,parlement-flamand
PVDA+,,1246,Canton d'Alost,2014,parlement-flamand
R.O.S.S.E.M.,,188,Canton d'Alost,2014,parlement-flamand
Piratenpartij,,548,Canton d'Alost,2014,parlement-flamand
SD&P,,1866,Canton d'Alost,2014,parlement-flamand
GENOEG,,159,Canton d'Alost,2014,parlement-flamand
ROEL,,114,Canton d'Alost,2014,parlement-flamand
VCP,,47,Canton d'Alost,2014,parlement-flamand
GROEN,,939,Canton d'Anderlecht (MBPF),2014,parlement-flamand
VLAAMS BELANG,,655,Canton d'Anderlecht (MBPF),2014,parlement-flamand
open vld,,1516,Canton d'Anderlecht (MBPF),2014,parlement-flamand
SP.A,,1530,Canton d'Anderlecht (MBPF),2014,parlement-flamand
NVA,,1731,Canton d'Anderlecht (MBPF),2014,parlement-flamand
CD&V,,1097,Canton d'Anderlecht (MBPF),2014,parlement-flamand
PENSIO(E)N PLUS,,115,Canton d'Anderlecht (MBPF),2014,parlement-flamand
GROEN,,40141,Canton d'Anvers,2014,parlement-flamand
VLAAMS BELANG,,21989,Canton d'Anvers,2014,parlement-flamand
OpenVld,,23298,Canton d'Anvers,2014,parlement-flamand
SP.A,,46265,Canton d'Anvers,2014,parlement-flamand
N-VA,,90778,Canton d'Anvers,2014,parlement-flamand
CD&V,,33042,Canton d'Anvers,2014,parlement-flamand
PVDA+,,21799,Canton d'Anvers,2014,parlement-flamand
R.O.S.S.E.M.,,568,Canton d'Anvers,2014,parlement-flamand
VCP,,145,Canton d'Anvers,2014,parlement-flamand
ROEL,,321,Canton d'Anvers,2014,parlement-flamand
MAMA,,916,Canton d'Anvers,2014,parlement-flamand
Piratenpartij,,1985,Canton d'Anvers,2014,parlement-flamand
GENOEG,,832,Canton d'Anvers,2014,parlement-flamand
GROEN,,1679,Canton d'Arendonk,2014,parlement-flamand
VLAAMS BELANG,,1884,Canton d'Arendonk,2014,parlement-flamand
OpenVld,,2131,Canton d'Arendonk,2014,parlement-flamand
SP.A,,2188,Canton d'Arendonk,2014,parlement-flamand
N-VA,,11377,Canton d'Arendonk,2014,parlement-flamand
CD&V,,8649,Canton d'Arendonk,2014,parlement-flamand
PVDA+,,393,Canton d'Arendonk,2014,parlement-flamand
R.O.S.S.E.M.,,63,Canton d'Arendonk,2014,parlement-flamand
VCP,,21,Canton d'Arendonk,2014,parlement-flamand
ROEL,,38,Canton d'Arendonk,2014,parlement-flamand
MAMA,,58,Canton d'Arendonk,2014,parlement-flamand
Piratenpartij,,129,Canton d'Arendonk,2014,parlement-flamand
GENOEG,,76,Canton d'Arendonk,2014,parlement-flamand
GROEN,,6676,Canton d'Asse,2014,parlement-flamand
VLAAMS BELANG,,3928,Canton d'Asse,2014,parlement-flamand
OpenVld,,23087,Canton d'Asse,2014,parlement-flamand
U F,,2682,Canton d'Asse,2014,parlement-flamand
SP.A,,8482,Canton d'Asse,2014,parlement-flamand
N-VA,,29851,Canton d'Asse,2014,parlement-flamand
CD&V,,16114,Canton d'Asse,2014,parlement-flamand
PVDA+,,1071,Canton d'Asse,2014,parlement-flamand
VCP,,72,Canton d'Asse,2014,parlement-flamand
ROSSEM,,116,Canton d'Asse,2014,parlement-flamand
ROEL,,60,Canton d'Asse,2014,parlement-flamand
GENOEG,,168,Canton d'Asse,2014,parlement-flamand
Piratenpartij,,577,Canton d'Asse,2014,parlement-flamand
GROEN,,966,Canton d'Assenede,2014,parlement-flamand
VLAAMS BELANG,,1153,Canton d'Assenede,2014,parlement-flamand
OpenVld,,2967,Canton d'Assenede,2014,parlement-flamand
SP.A,,3110,Canton d'Assenede,2014,parlement-flamand
N-VA,,4391,Canton d'Assenede,2014,parlement-flamand
CD&V,,2972,Canton d'Assenede,2014,parlement-flamand
PVDA+,,1858,Canton d'Assenede,2014,parlement-flamand
R.O.S.S.E.M.,,52,Canton d'Assenede,2014,parlement-flamand
Piratenpartij,,88,Canton d'Assenede,2014,parlement-flamand
SD&P,,14,Canton d'Assenede,2014,parlement-flamand
GENOEG,,28,Canton d'Assenede,2014,parlement-flamand
ROEL,,15,Canton d'Assenede,2014,parlement-flamand
VCP,,14,Canton d'Assenede,2014,parlement-flamand
GROEN,,3084,Canton d'Audenarde,2014,parlement-flamand
VLAAMS BELANG,,1067,Canton d'Audenarde,2014,parlement-flamand
OpenVld,,8056,Canton d'Audenarde,2014,parlement-flamand
SP.A,,3318,Canton d'Audenarde,2014,parlement-flamand
N-VA,,8275,Canton d'Audenarde,2014,parlement-flamand
CD&V,,5964,Canton d'Audenarde,2014,parlement-flamand
PVDA+,,365,Canton d'Audenarde,2014,parlement-flamand
R.O.S.S.E.M.,,47,Canton d'Audenarde,2014,parlement-flamand
Piratenpartij,,157,Canton d'Audenarde,2014,parlement-flamand
SD&P,,14,Canton d'Audenarde,2014,parlement-flamand
GENOEG,,63,Canton d'Audenarde,2014,parlement-flamand
ROEL,,27,Canton d'Audenarde,2014,parlement-flamand
VCP,,29,Canton d'Audenarde,2014,parlement-flamand
GROEN,,524,Canton d'Avelgem,2014,parlement-flamand
VB,,346,Canton d'Avelgem,2014,parlement-flamand
OpenVld,,1340,Canton d'Avelgem,2014,parlement-flamand
SP.A,,1664,Canton d'Avelgem,2014,parlement-flamand
N-VA,,1761,Canton d'Avelgem,2014,parlement-flamand
CD&V,,2047,Canton d'Avelgem,2014,parlement-flamand
PVDA+,,101,Canton d'Avelgem,2014,parlement-flamand
R.O.S.S.E.M.,,26,Canton d'Avelgem,2014,parlement-flamand
ROEL,,5,Canton d'Avelgem,2014,parlement-flamand
GENOEG,,20,Canton d'Avelgem,2014,parlement-flamand
VCP,,23,Canton d'Avelgem,2014,parlement-flamand
Piratenpartij,,57,Canton d'Avelgem,2014,parlement-flamand
V.I.T.A.L.,,5,Canton d'Avelgem,2014,parlement-flamand
GROEN,,2748,Canton d'Eeklo,2014,parlement-flamand
VLAAMS BELANG,,2015,Canton d'Eeklo,2014,parlement-flamand
OpenVld,,5823,Canton d'Eeklo,2014,parlement-flamand
SP.A,,3997,Canton d'Eeklo,2014,parlement-flamand
N-VA,,9755,Canton d'Eeklo,2014,parlement-flamand
CD&V,,8324,Canton d'Eeklo,2014,parlement-flamand
PVDA+,,844,Canton d'Eeklo,2014,parlement-flamand
R.O.S.S.E.M.,,94,Canton d'Eeklo,2014,parlement-flamand
Piratenpartij,,258,Canton d'Eeklo,2014,parlement-flamand
SD&P,,24,Canton d'Eeklo,2014,parlement-flamand
GENOEG,,93,Canton d'Eeklo,2014,parlement-flamand
ROEL,,31,Canton d'Eeklo,2014,parlement-flamand
VCP,,56,Canton d'Eeklo,2014,parlement-flamand
GROEN,,1917,Canton d'Evergem,2014,parlement-flamand
VLAAMS BELANG,,1579,Canton d'Evergem,2014,parlement-flamand
OpenVld,,3130,Canton d'Evergem,2014,parlement-flamand
SP.A,,3004,Canton d'Evergem,2014,parlement-flamand
N-VA,,7735,Canton d'Evergem,2014,parlement-flamand
CD&V,,4746,Canton d'Evergem,2014,parlement-flamand
PVDA+,,671,Canton d'Evergem,2014,parlement-flamand
R.O.S.S.E.M.,,72,Canton d'Evergem,2014,parlement-flamand
Piratenpartij,,185,Canton d'Evergem,2014,parlement-flamand
SD&P,,20,Canton d'Evergem,2014,parlement-flamand
GENOEG,,51,Canton d'Evergem,2014,parlement-flamand
ROEL,,25,Canton d'Evergem,2014,parlement-flamand
VCP,,25,Canton d'Evergem,2014,parlement-flamand
GROEN,,1184,Canton d'Ixelles (MBPF),2014,parlement-flamand
VLAAMS BELANG,,158,Canton d'Ixelles (MBPF),2014,parlement-flamand
open vld,,1374,Canton d'Ixelles (MBPF),2014,parlement-flamand
SP.A,,681,Canton d'Ixelles (MBPF),2014,parlement-flamand
NVA,,798,Canton d'Ixelles (MBPF),2014,parlement-flamand
CD&V,,671,Canton d'Ixelles (MBPF),2014,parlement-flamand
PENSIO(E)N PLUS,,32,Canton d'Ixelles (MBPF),2014,parlement-flamand
GROEN,,1591,Canton d'Izegem,2014,parlement-flamand
VB,,1722,Canton d'Izegem,2014,parlement-flamand
OpenVld,,2279,Canton d'Izegem,2014,parlement-flamand
SP.A,,4444,Canton d'Izegem,2014,parlement-flamand
N-VA,,9628,Canton d'Izegem,2014,parlement-flamand
CD&V,,5865,Canton d'Izegem,2014,parlement-flamand
PVDA+,,528,Canton d'Izegem,2014,parlement-flamand
R.O.S.S.E.M.,,66,Canton d'Izegem,2014,parlement-flamand
ROEL,,39,Canton d'Izegem,2014,parlement-flamand
GENOEG,,40,Canton d'Izegem,2014,parlement-flamand
VCP,,34,Canton d'Izegem,2014,parlement-flamand
Piratenpartij,,164,Canton d'Izegem,2014,parlement-flamand
V.I.T.A.L.,,22,Canton d'Izegem,2014,parlement-flamand
GROEN,,498,Canton d'Oostrozebeke,2014,parlement-flamand
VB,,721,Canton d'Oostrozebeke,2014,parlement-flamand
OpenVld,,990,Canton d'Oostrozebeke,2014,parlement-flamand
SP.A,,1119,Canton d'Oostrozebeke,2014,parlement-flamand
N-VA,,3927,Canton d'Oostrozebeke,2014,parlement-flamand
CD&V,,4096,Canton d'Oostrozebeke,2014,parlement-flamand
PVDA+,,120,Canton d'Oostrozebeke,2014,parlement-flamand
R.O.S.S.E.M.,,23,Canton d'Oostrozebeke,2014,parlement-flamand
ROEL,,10,Canton d'Oostrozebeke,2014,parlement-flamand
GENOEG,,21,Canton d'Oostrozebeke,2014,parlement-flamand
VCP,,18,Canton d'Oostrozebeke,2014,parlement-flamand
Piratenpartij,,71,Canton d'Oostrozebeke,2014,parlement-flamand
V.I.T.A.L.,,8,Canton d'Oostrozebeke,2014,parlement-flamand
GROEN,,6768,Canton d'Ostende,2014,parlement-flamand
VB,,4895,Canton d'Ostende,2014,parlement-flamand
OpenVld,,11889,Canton d'Ostende,2014,parlement-flamand
SP.A,,18111,Canton d'Ostende,2014,parlement-flamand
N-VA,,23989,Canton d'Ostende,2014,parlement-flamand
CD&V,,11220,Canton d'Ostende,2014,parlement-flamand
PVDA+,,1459,Canton d'Ostende,2014,parlement-flamand
R.O.S.S.E.M.,,273,Canton d'Ostende,2014,parlement-flamand
ROEL,,141,Canton d'Ostende,2014,parlement-flamand
GENOEG,,250,Canton d'Ostende,2014,parlement-flamand
VCP,,88,Canton d'Ostende,2014,parlement-flamand
Piratenpartij,,709,Canton d'Ostende,2014,parlement-flamand
V.I.T.A.L.,,139,Canton d'Ostende,2014,parlement-flamand
GROEN,,859,Canton d'Uccle (MBPF),2014,parlement-flamand
VLAAMS BELANG,,209,Canton d'Uccle (MBPF),2014,parlement-flamand
open vld,,1172,Canton d'Uccle (MBPF),2014,parlement-flamand
SP.A,,521,Canton d'Uccle (MBPF),2014,parlement-flamand
NVA,,715,Canton d'Uccle (MBPF),2014,parlement-flamand
CD&V,,459,Canton d'Uccle (MBPF),2014,parlement-flamand
PENSIO(E)N PLUS,,35,Canton d'Uccle (MBPF),2014,parlement-flamand
GROEN,,1923,Canton d'Ypres,2014,parlement-flamand
VB,,1435,Canton d'Ypres,2014,parlement-flamand
OpenVld,,3606,Canton d'Ypres,2014,parlement-flamand
SP.A,,4636,Canton d'Ypres,2014,parlement-flamand
N-VA,,7896,Canton d'Ypres,2014,parlement-flamand
CD&V,,8282,Canton d'Ypres,2014,parlement-flamand
PVDA+,,524,Canton d'Ypres,2014,parlement-flamand
R.O.S.S.E.M.,,132,Canton d'Ypres,2014,parlement-flamand
ROEL,,66,Canton d'Ypres,2014,parlement-flamand
GENOEG,,50,Canton d'Ypres,2014,parlement-flamand
VCP,,87,Canton d'Ypres,2014,parlement-flamand
Piratenpartij,,235,Canton d'Ypres,2014,parlement-flamand
V.I.T.A.L.,,14,Canton d'Ypres,2014,parlement-flamand
GROEN,,4697,Canton de Beringen,2014,parlement-flamand
VLAAMS BELANG,,5747,Canton de Beringen,2014,parlement-flamand
OpenVld,,7266,Canton de Beringen,2014,parlement-flamand
SP.A,,15785,Canton de Beringen,2014,parlement-flamand
N-VA,,26909,Canton de Beringen,2014,parlement-flamand
CD&V,,16105,Canton de Beringen,2014,parlement-flamand
PVDA+,,1424,Canton de Beringen,2014,parlement-flamand
ROEL,,163,Canton de Beringen,2014,parlement-flamand
R.O.S.S.E.M.,,222,Canton de Beringen,2014,parlement-flamand
GENOEG,,243,Canton de Beringen,2014,parlement-flamand
VCP,,130,Canton de Beringen,2014,parlement-flamand
GROEN,,2565,Canton de Beveren,2014,parlement-flamand
