Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
GROEN,3,111234,Circonscription d'Anvers,2014,parlement-flamand
VLAAMS BELANG,2,79588,Circonscription d'Anvers,2014,parlement-flamand
OpenVld,3,108209,Circonscription d'Anvers,2014,parlement-flamand
SP.A,4,128760,Circonscription d'Anvers,2014,parlement-flamand
N-VA,14,411001,Circonscription d'Anvers,2014,parlement-flamand
CD&V,7,225891,Circonscription d'Anvers,2014,parlement-flamand
PVDA+,0,43694,Circonscription d'Anvers,2014,parlement-flamand
R.O.S.S.E.M.,0,2733,Circonscription d'Anvers,2014,parlement-flamand
VCP,0,682,Circonscription d'Anvers,2014,parlement-flamand
ROEL,0,1306,Circonscription d'Anvers,2014,parlement-flamand
MAMA,0,3227,Circonscription d'Anvers,2014,parlement-flamand
Piratenpartij,0,7514,Circonscription d'Anvers,2014,parlement-flamand
GENOEG,0,3521,Circonscription d'Anvers,2014,parlement-flamand
GROEN,1,57361,Circonscription de Flandre Occidentale,2014,parlement-flamand
VB,1,40488,Circonscription de Flandre Occidentale,2014,parlement-flamand
OpenVld,3,104442,Circonscription de Flandre Occidentale,2014,parlement-flamand
SP.A,4,130119,Circonscription de Flandre Occidentale,2014,parlement-flamand
N-VA,7,238148,Circonscription de Flandre Occidentale,2014,parlement-flamand
CD&V,6,202622,Circonscription de Flandre Occidentale,2014,parlement-flamand
PVDA+,0,12922,Circonscription de Flandre Occidentale,2014,parlement-flamand
R.O.S.S.E.M.,0,2407,Circonscription de Flandre Occidentale,2014,parlement-flamand
ROEL,0,1359,Circonscription de Flandre Occidentale,2014,parlement-flamand
GENOEG,0,2041,Circonscription de Flandre Occidentale,2014,parlement-flamand
VCP,0,1449,Circonscription de Flandre Occidentale,2014,parlement-flamand
Piratenpartij,0,5758,Circonscription de Flandre Occidentale,2014,parlement-flamand
V.I.T.A.L.,0,617,Circonscription de Flandre Occidentale,2014,parlement-flamand
GROEN,2,88977,Circonscription de Flandre Orientale,2014,parlement-flamand
VLAAMS BELANG,2,62881,Circonscription de Flandre Orientale,2014,parlement-flamand
OpenVld,5,169726,Circonscription de Flandre Orientale,2014,parlement-flamand
SP.A,4,139640,Circonscription de Flandre Orientale,2014,parlement-flamand
N-VA,9,300638,Circonscription de Flandre Orientale,2014,parlement-flamand
CD&V,5,179572,Circonscription de Flandre Orientale,2014,parlement-flamand
PVDA+,0,23029,Circonscription de Flandre Orientale,2014,parlement-flamand
R.O.S.S.E.M.,0,2236,Circonscription de Flandre Orientale,2014,parlement-flamand
Piratenpartij,0,7142,Circonscription de Flandre Orientale,2014,parlement-flamand
SD&P,0,2853,Circonscription de Flandre Orientale,2014,parlement-flamand
GENOEG,0,2177,Circonscription de Flandre Orientale,2014,parlement-flamand
ROEL,0,1017,Circonscription de Flandre Orientale,2014,parlement-flamand
VCP,0,909,Circonscription de Flandre Orientale,2014,parlement-flamand
GROEN,1,32713,Circonscription de Limbourg,2014,parlement-flamand
VLAAMS BELANG,1,32392,Circonscription de Limbourg,2014,parlement-flamand
OpenVld,2,66269,Circonscription de Limbourg,2014,parlement-flamand
SP.A,3,94721,Circonscription de Limbourg,2014,parlement-flamand
N-VA,5,176512,Circonscription de Limbourg,2014,parlement-flamand
CD&V,4,127656,Circonscription de Limbourg,2014,parlement-flamand
PVDA+,0,14257,Circonscription de Limbourg,2014,parlement-flamand
ROEL,0,872,Circonscription de Limbourg,2014,parlement-flamand
R.O.S.S.E.M.,0,1259,Circonscription de Limbourg,2014,parlement-flamand
GENOEG,0,1475,Circonscription de Limbourg,2014,parlement-flamand
VCP,0,979,Circonscription de Limbourg,2014,parlement-flamand
GROEN,2,64836,Circonscription du Brabant Flamand,2014,parlement-flamand
VLAAMS BELANG,0,30531,Circonscription du Brabant Flamand,2014,parlement-flamand
OpenVld,4,133362,Circonscription du Brabant Flamand,2014,parlement-flamand
U F,1,34741,Circonscription du Brabant Flamand,2014,parlement-flamand
SP.A,2,85105,Circonscription du Brabant Flamand,2014,parlement-flamand
N-VA,7,204139,Circonscription du Brabant Flamand,2014,parlement-flamand
CD&V,4,118669,Circonscription du Brabant Flamand,2014,parlement-flamand
PVDA+,0,12212,Circonscription du Brabant Flamand,2014,parlement-flamand
VCP,0,1007,Circonscription du Brabant Flamand,2014,parlement-flamand
ROSSEM,0,1302,Circonscription du Brabant Flamand,2014,parlement-flamand
ROEL,0,674,Circonscription du Brabant Flamand,2014,parlement-flamand
GENOEG,0,1398,Circonscription du Brabant Flamand,2014,parlement-flamand
Piratenpartij,0,5572,Circonscription du Brabant Flamand,2014,parlement-flamand
GROEN,1,10658,Ressort Mbpf,2014,parlement-flamand
VLAAMS BELANG,0,2960,Ressort Mbpf,2014,parlement-flamand
open vld,2,12456,Ressort Mbpf,2014,parlement-flamand
SP.A,1,9556,Ressort Mbpf,2014,parlement-flamand
NVA,1,9505,Ressort Mbpf,2014,parlement-flamand
CD&V,1,6275,Ressort Mbpf,2014,parlement-flamand
PENSIO(E)N PLUS,0,482,Ressort Mbpf,2014,parlement-flamand
