Parti,Nombre de sièges,Nombre de voix,commune,date,election
open vld,,2610,Aalter,2019,parlement-flamand
N-VA,,4450,Aalter,2019,parlement-flamand
VLAAMS BELANG,,3513,Aalter,2019,parlement-flamand
CD&V,,4438,Aalter,2019,parlement-flamand
PVDA,,671,Aalter,2019,parlement-flamand
GROEN,,2460,Aalter,2019,parlement-flamand
SP.A,,1486,Aalter,2019,parlement-flamand
DierAnimal,,203,Aalter,2019,parlement-flamand
de coöperatie,,25,Aalter,2019,parlement-flamand
RP,,12,Aalter,2019,parlement-flamand
Be.One,,20,Aalter,2019,parlement-flamand
open vld,,4366,Aarschot,2019,parlement-flamand
N-VA,,4210,Aarschot,2019,parlement-flamand
VLAAMS BELANG,,3847,Aarschot,2019,parlement-flamand
CD&V,,2610,Aarschot,2019,parlement-flamand
PVDA,,1027,Aarschot,2019,parlement-flamand
UF,,11,Aarschot,2019,parlement-flamand
GROEN,,1871,Aarschot,2019,parlement-flamand
SP.A,,2342,Aarschot,2019,parlement-flamand
DierAnimal,,242,Aarschot,2019,parlement-flamand
PRO,,102,Aarschot,2019,parlement-flamand
open vld,,1345,Aartselaar,2019,parlement-flamand
N-VA,,4209,Aartselaar,2019,parlement-flamand
VLAAMS BELANG,,1525,Aartselaar,2019,parlement-flamand
CD&V,,951,Aartselaar,2019,parlement-flamand
PVDA,,360,Aartselaar,2019,parlement-flamand
GROEN,,741,Aartselaar,2019,parlement-flamand
SP.A,,546,Aartselaar,2019,parlement-flamand
DierAnimal,,52,Aartselaar,2019,parlement-flamand
PV&S,,3,Aartselaar,2019,parlement-flamand
D-SA,,7,Aartselaar,2019,parlement-flamand
Piratenpartij,,44,Aartselaar,2019,parlement-flamand
Genoeg vr iedereen,,18,Aartselaar,2019,parlement-flamand
Be.One,,2,Aartselaar,2019,parlement-flamand
Burgerlijst,,8,Aartselaar,2019,parlement-flamand
open vld,,1469,Affligem,2019,parlement-flamand
N-VA,,2704,Affligem,2019,parlement-flamand
VLAAMS BELANG,,1749,Affligem,2019,parlement-flamand
CD&V,,1320,Affligem,2019,parlement-flamand
PVDA,,275,Affligem,2019,parlement-flamand
UF,,41,Affligem,2019,parlement-flamand
GROEN,,626,Affligem,2019,parlement-flamand
SP.A,,601,Affligem,2019,parlement-flamand
DierAnimal,,78,Affligem,2019,parlement-flamand
PRO,,34,Affligem,2019,parlement-flamand
open vld,,1015,Alken,2019,parlement-flamand
N-VA,,2729,Alken,2019,parlement-flamand
VLAAMS BELANG,,1239,Alken,2019,parlement-flamand
CD&V,,1185,Alken,2019,parlement-flamand
PVDA,,321,Alken,2019,parlement-flamand
GROEN,,805,Alken,2019,parlement-flamand
SP.A,,826,Alken,2019,parlement-flamand
PRO,,11,Alken,2019,parlement-flamand
D-SA,,6,Alken,2019,parlement-flamand
RP,,17,Alken,2019,parlement-flamand
open vld,,6959,Alost,2019,parlement-flamand
N-VA,,14161,Alost,2019,parlement-flamand
VLAAMS BELANG,,14151,Alost,2019,parlement-flamand
CD&V,,5409,Alost,2019,parlement-flamand
PVDA,,2383,Alost,2019,parlement-flamand
GROEN,,4515,Alost,2019,parlement-flamand
SP.A,,5428,Alost,2019,parlement-flamand
DierAnimal,,538,Alost,2019,parlement-flamand
de coöperatie,,112,Alost,2019,parlement-flamand
RP,,69,Alost,2019,parlement-flamand
Be.One,,64,Alost,2019,parlement-flamand
open vld,,375,Alveringem,2019,parlement-flamand
N-VA,,745,Alveringem,2019,parlement-flamand
VLAAMS BELANG,,737,Alveringem,2019,parlement-flamand
CD&V,,904,Alveringem,2019,parlement-flamand
PVDA,,90,Alveringem,2019,parlement-flamand
GROEN,,164,Alveringem,2019,parlement-flamand
SP.A,,270,Alveringem,2019,parlement-flamand
DierAnimal,,47,Alveringem,2019,parlement-flamand
Piratenpartij,,29,Alveringem,2019,parlement-flamand
open vld,,728,Anderlecht,2019,parlement-flamand
N-VA,,1476,Anderlecht,2019,parlement-flamand
VLAAMS BELANG,,935,Anderlecht,2019,parlement-flamand
CD&V,,579,Anderlecht,2019,parlement-flamand
PVDA,,433,Anderlecht,2019,parlement-flamand
GROEN,,1118,Anderlecht,2019,parlement-flamand
sp.a-one.brussels,,1164,Anderlecht,2019,parlement-flamand
open vld,,23900,Anvers,2019,parlement-flamand
N-VA,,78018,Anvers,2019,parlement-flamand
VLAAMS BELANG,,37446,Anvers,2019,parlement-flamand
CD&V,,14631,Anvers,2019,parlement-flamand
PVDA,,31424,Anvers,2019,parlement-flamand
GROEN,,47612,Anvers,2019,parlement-flamand
SP.A,,26371,Anvers,2019,parlement-flamand
DierAnimal,,2428,Anvers,2019,parlement-flamand
PV&S,,2183,Anvers,2019,parlement-flamand
D-SA,,1989,Anvers,2019,parlement-flamand
Piratenpartij,,1451,Anvers,2019,parlement-flamand
Genoeg vr iedereen,,668,Anvers,2019,parlement-flamand
Be.One,,680,Anvers,2019,parlement-flamand
Burgerlijst,,646,Anvers,2019,parlement-flamand
open vld,,1316,Anzegem,2019,parlement-flamand
N-VA,,2045,Anzegem,2019,parlement-flamand
VLAAMS BELANG,,2195,Anzegem,2019,parlement-flamand
CD&V,,2480,Anzegem,2019,parlement-flamand
PVDA,,247,Anzegem,2019,parlement-flamand
GROEN,,1137,Anzegem,2019,parlement-flamand
SP.A,,776,Anzegem,2019,parlement-flamand
DierAnimal,,69,Anzegem,2019,parlement-flamand
Piratenpartij,,34,Anzegem,2019,parlement-flamand
open vld,,877,Ardooie,2019,parlement-flamand
N-VA,,1008,Ardooie,2019,parlement-flamand
VLAAMS BELANG,,1470,Ardooie,2019,parlement-flamand
CD&V,,1632,Ardooie,2019,parlement-flamand
PVDA,,178,Ardooie,2019,parlement-flamand
GROEN,,322,Ardooie,2019,parlement-flamand
SP.A,,540,Ardooie,2019,parlement-flamand
DierAnimal,,56,Ardooie,2019,parlement-flamand
Piratenpartij,,32,Ardooie,2019,parlement-flamand
open vld,,502,Arendonk,2019,parlement-flamand
N-VA,,2573,Arendonk,2019,parlement-flamand
VLAAMS BELANG,,1856,Arendonk,2019,parlement-flamand
CD&V,,1452,Arendonk,2019,parlement-flamand
PVDA,,261,Arendonk,2019,parlement-flamand
GROEN,,705,Arendonk,2019,parlement-flamand
SP.A,,654,Arendonk,2019,parlement-flamand
DierAnimal,,48,Arendonk,2019,parlement-flamand
PV&S,,4,Arendonk,2019,parlement-flamand
D-SA,,2,Arendonk,2019,parlement-flamand
Piratenpartij,,33,Arendonk,2019,parlement-flamand
Genoeg vr iedereen,,16,Arendonk,2019,parlement-flamand
Be.One,,5,Arendonk,2019,parlement-flamand
Burgerlijst,,7,Arendonk,2019,parlement-flamand
open vld,,710,As,2019,parlement-flamand
N-VA,,1292,As,2019,parlement-flamand
VLAAMS BELANG,,1268,As,2019,parlement-flamand
CD&V,,905,As,2019,parlement-flamand
PVDA,,275,As,2019,parlement-flamand
GROEN,,336,As,2019,parlement-flamand
SP.A,,551,As,2019,parlement-flamand
PRO,,16,As,2019,parlement-flamand
D-SA,,8,As,2019,parlement-flamand
RP,,7,As,2019,parlement-flamand
open vld,,2677,Asse,2019,parlement-flamand
N-VA,,5700,Asse,2019,parlement-flamand
VLAAMS BELANG,,2684,Asse,2019,parlement-flamand
CD&V,,2553,Asse,2019,parlement-flamand
PVDA,,961,Asse,2019,parlement-flamand
UF,,393,Asse,2019,parlement-flamand
GROEN,,2121,Asse,2019,parlement-flamand
SP.A,,1660,Asse,2019,parlement-flamand
DierAnimal,,289,Asse,2019,parlement-flamand
PRO,,317,Asse,2019,parlement-flamand
open vld,,1931,Assenede,2019,parlement-flamand
N-VA,,1699,Assenede,2019,parlement-flamand
VLAAMS BELANG,,2124,Assenede,2019,parlement-flamand
CD&V,,1561,Assenede,2019,parlement-flamand
PVDA,,565,Assenede,2019,parlement-flamand
GROEN,,677,Assenede,2019,parlement-flamand
SP.A,,1059,Assenede,2019,parlement-flamand
DierAnimal,,115,Assenede,2019,parlement-flamand
de coöperatie,,4,Assenede,2019,parlement-flamand
RP,,10,Assenede,2019,parlement-flamand
Be.One,,17,Assenede,2019,parlement-flamand
open vld,,4866,Audenarde,2019,parlement-flamand
N-VA,,4197,Audenarde,2019,parlement-flamand
VLAAMS BELANG,,3793,Audenarde,2019,parlement-flamand
CD&V,,3045,Audenarde,2019,parlement-flamand
PVDA,,629,Audenarde,2019,parlement-flamand
GROEN,,2584,Audenarde,2019,parlement-flamand
SP.A,,1981,Audenarde,2019,parlement-flamand
DierAnimal,,156,Audenarde,2019,parlement-flamand
de coöperatie,,16,Audenarde,2019,parlement-flamand
RP,,27,Audenarde,2019,parlement-flamand
Be.One,,25,Audenarde,2019,parlement-flamand
open vld,,345,Auderghem,2019,parlement-flamand
N-VA,,310,Auderghem,2019,parlement-flamand
VLAAMS BELANG,,129,Auderghem,2019,parlement-flamand
CD&V,,146,Auderghem,2019,parlement-flamand
PVDA,,64,Auderghem,2019,parlement-flamand
GROEN,,579,Auderghem,2019,parlement-flamand
sp.a-one.brussels,,146,Auderghem,2019,parlement-flamand
open vld,,989,Avelgem,2019,parlement-flamand
N-VA,,917,Avelgem,2019,parlement-flamand
VLAAMS BELANG,,1428,Avelgem,2019,parlement-flamand
