Parti,Nombre de sièges,Nombre de voix,canton,date,election
CDH,,3508,Canton d'Andenne,2004,parlement-wallon
FN,,1308,Canton d'Andenne,2004,parlement-wallon
MR,,3857,Canton d'Andenne,2004,parlement-wallon
ECOLO,,1853,Canton d'Andenne,2004,parlement-wallon
PS,,9920,Canton d'Andenne,2004,parlement-wallon
CDF,,95,Canton d'Andenne,2004,parlement-wallon
R.W.F.,,147,Canton d'Andenne,2004,parlement-wallon
PTB+,,80,Canton d'Andenne,2004,parlement-wallon
MS-CW,,57,Canton d'Andenne,2004,parlement-wallon
FNB,,446,Canton d'Andenne,2004,parlement-wallon
CDH,,1893,Canton d'Antoing,2004,parlement-wallon
FN,,713,Canton d'Antoing,2004,parlement-wallon
MR,,1976,Canton d'Antoing,2004,parlement-wallon
ECOLO,,795,Canton d'Antoing,2004,parlement-wallon
PS,,6486,Canton d'Antoing,2004,parlement-wallon
CDF,,44,Canton d'Antoing,2004,parlement-wallon
R.W.F.,,90,Canton d'Antoing,2004,parlement-wallon
FNB,,111,Canton d'Antoing,2004,parlement-wallon
VIVANT,,81,Canton d'Antoing,2004,parlement-wallon
FRANCE,,46,Canton d'Antoing,2004,parlement-wallon
CDH,,5153,Canton d'Arlon,2004,parlement-wallon
FN,,1160,Canton d'Arlon,2004,parlement-wallon
MR,,4483,Canton d'Arlon,2004,parlement-wallon
ECOLO,,1966,Canton d'Arlon,2004,parlement-wallon
PS,,4992,Canton d'Arlon,2004,parlement-wallon
CDF,,173,Canton d'Arlon,2004,parlement-wallon
R.W.F.,,165,Canton d'Arlon,2004,parlement-wallon
PH,,59,Canton d'Arlon,2004,parlement-wallon
VIVANT,,165,Canton d'Arlon,2004,parlement-wallon
MS-CW,,37,Canton d'Arlon,2004,parlement-wallon
CDH,,1984,Canton d'Ath,2004,parlement-wallon
FN,,1344,Canton d'Ath,2004,parlement-wallon
MR,,3522,Canton d'Ath,2004,parlement-wallon
ECOLO,,1069,Canton d'Ath,2004,parlement-wallon
PS,,8798,Canton d'Ath,2004,parlement-wallon
CDF,,65,Canton d'Ath,2004,parlement-wallon
R.W.F.,,235,Canton d'Ath,2004,parlement-wallon
FNB,,157,Canton d'Ath,2004,parlement-wallon
VIVANT,,126,Canton d'Ath,2004,parlement-wallon
FRANCE,,96,Canton d'Ath,2004,parlement-wallon
CDH,,2182,Canton d'Aubel,2004,parlement-wallon
FN,,367,Canton d'Aubel,2004,parlement-wallon
MR,,2279,Canton d'Aubel,2004,parlement-wallon
ECOLO,,538,Canton d'Aubel,2004,parlement-wallon
PS,,1593,Canton d'Aubel,2004,parlement-wallon
R.W.F.,,33,Canton d'Aubel,2004,parlement-wallon
PJU-PDB,,20,Canton d'Aubel,2004,parlement-wallon
FRANCE,,29,Canton d'Aubel,2004,parlement-wallon
MS-CW,,9,Canton d'Aubel,2004,parlement-wallon
VIVANT,,92,Canton d'Aubel,2004,parlement-wallon
CDH,,4159,Canton d'Aywaille,2004,parlement-wallon
FN,,1397,Canton d'Aywaille,2004,parlement-wallon
MR,,9495,Canton d'Aywaille,2004,parlement-wallon
ECOLO,,2843,Canton d'Aywaille,2004,parlement-wallon
PS,,7491,Canton d'Aywaille,2004,parlement-wallon
CDF,,175,Canton d'Aywaille,2004,parlement-wallon
R.W.F.,,238,Canton d'Aywaille,2004,parlement-wallon
PTB+,,149,Canton d'Aywaille,2004,parlement-wallon
FRANCE,,117,Canton d'Aywaille,2004,parlement-wallon
MS-CW,,21,Canton d'Aywaille,2004,parlement-wallon
BLOC NATIONAL,,80,Canton d'Aywaille,2004,parlement-wallon
ISAGORIA,,21,Canton d'Aywaille,2004,parlement-wallon
VIVANT,,200,Canton d'Aywaille,2004,parlement-wallon
CDH,,4795,Canton d'Eghezée,2004,parlement-wallon
FN,,1007,Canton d'Eghezée,2004,parlement-wallon
MR,,5368,Canton d'Eghezée,2004,parlement-wallon
ECOLO,,1750,Canton d'Eghezée,2004,parlement-wallon
PS,,4989,Canton d'Eghezée,2004,parlement-wallon
CDF,,158,Canton d'Eghezée,2004,parlement-wallon
R.W.F.,,176,Canton d'Eghezée,2004,parlement-wallon
PTB+,,75,Canton d'Eghezée,2004,parlement-wallon
MS-CW,,22,Canton d'Eghezée,2004,parlement-wallon
FNB,,197,Canton d'Eghezée,2004,parlement-wallon
CDH,,2778,Canton d'Enghien,2004,parlement-wallon
FN,,991,Canton d'Enghien,2004,parlement-wallon
MR,,3920,Canton d'Enghien,2004,parlement-wallon
ECOLO,,989,Canton d'Enghien,2004,parlement-wallon
PS,,3107,Canton d'Enghien,2004,parlement-wallon
CDF,,183,Canton d'Enghien,2004,parlement-wallon
R.W.F.,,89,Canton d'Enghien,2004,parlement-wallon
PTB+,,37,Canton d'Enghien,2004,parlement-wallon
WALLON,,109,Canton d'Enghien,2004,parlement-wallon
VIVANT,,135,Canton d'Enghien,2004,parlement-wallon
CDH,,1798,Canton d'Estaimpuis,2004,parlement-wallon
FN,,540,Canton d'Estaimpuis,2004,parlement-wallon
MR,,1424,Canton d'Estaimpuis,2004,parlement-wallon
ECOLO,,637,Canton d'Estaimpuis,2004,parlement-wallon
PS,,3492,Canton d'Estaimpuis,2004,parlement-wallon
CDF,,96,Canton d'Estaimpuis,2004,parlement-wallon
R.W.F.,,38,Canton d'Estaimpuis,2004,parlement-wallon
FNB,,89,Canton d'Estaimpuis,2004,parlement-wallon
VIVANT,,53,Canton d'Estaimpuis,2004,parlement-wallon
FRANCE,,30,Canton d'Estaimpuis,2004,parlement-wallon
CDH,,2967,Canton d'Etalle,2004,parlement-wallon
MR,,3435,Canton d'Etalle,2004,parlement-wallon
ECOLO,,827,Canton d'Etalle,2004,parlement-wallon
PS,,2266,Canton d'Etalle,2004,parlement-wallon
CDF,,127,Canton d'Etalle,2004,parlement-wallon
R.W.F.,,168,Canton d'Etalle,2004,parlement-wallon
MS-CW,,33,Canton d'Etalle,2004,parlement-wallon
VIVANT,,92,Canton d'Etalle,2004,parlement-wallon
CDH,,6630,Canton d'Eupen,2004,parlement-wallon
FN,,1185,Canton d'Eupen,2004,parlement-wallon
MR,,3050,Canton d'Eupen,2004,parlement-wallon
ECOLO,,2274,Canton d'Eupen,2004,parlement-wallon
PS,,3286,Canton d'Eupen,2004,parlement-wallon
R.W.F.,,53,Canton d'Eupen,2004,parlement-wallon
PJU-PDB,,1321,Canton d'Eupen,2004,parlement-wallon
FRANCE,,100,Canton d'Eupen,2004,parlement-wallon
MS-CW,,35,Canton d'Eupen,2004,parlement-wallon
VIVANT,,1101,Canton d'Eupen,2004,parlement-wallon
CDH,,6223,Canton de Bassenge,2004,parlement-wallon
FN,,1880,Canton de Bassenge,2004,parlement-wallon
MR,,5262,Canton de Bassenge,2004,parlement-wallon
ECOLO,,1589,Canton de Bassenge,2004,parlement-wallon
PS,,8792,Canton de Bassenge,2004,parlement-wallon
CDF,,122,Canton de Bassenge,2004,parlement-wallon
R.W.F.,,126,Canton de Bassenge,2004,parlement-wallon
PTB+,,250,Canton de Bassenge,2004,parlement-wallon
FRANCE,,77,Canton de Bassenge,2004,parlement-wallon
MS-CW,,45,Canton de Bassenge,2004,parlement-wallon
BLOC NATIONAL,,109,Canton de Bassenge,2004,parlement-wallon
ISAGORIA,,22,Canton de Bassenge,2004,parlement-wallon
VIVANT,,181,Canton de Bassenge,2004,parlement-wallon
CDH,,3233,Canton de Bastogne,2004,parlement-wallon
FN,,547,Canton de Bastogne,2004,parlement-wallon
MR,,4417,Canton de Bastogne,2004,parlement-wallon
ECOLO,,498,Canton de Bastogne,2004,parlement-wallon
PS,,1496,Canton de Bastogne,2004,parlement-wallon
CDF,,82,Canton de Bastogne,2004,parlement-wallon
R.W.F.,,45,Canton de Bastogne,2004,parlement-wallon
