Parti,Nombre de sièges,Nombre de voix,commune,date,election
MR,,946,Aiseau-Presles,2014,parlement-wallon
FDF,,144,Aiseau-Presles,2014,parlement-wallon
ECOLO,,325,Aiseau-Presles,2014,parlement-wallon
PS,,2451,Aiseau-Presles,2014,parlement-wallon
CDH,,804,Aiseau-Presles,2014,parlement-wallon
Parti Populaire,,376,Aiseau-Presles,2014,parlement-wallon
PTB-GO !,,393,Aiseau-Presles,2014,parlement-wallon
MG,,11,Aiseau-Presles,2014,parlement-wallon
LA DROITE,,83,Aiseau-Presles,2014,parlement-wallon
DEBOUT LES BELGES,,284,Aiseau-Presles,2014,parlement-wallon
P+,,31,Aiseau-Presles,2014,parlement-wallon
R.W.F.,,21,Aiseau-Presles,2014,parlement-wallon
NWA,,25,Aiseau-Presles,2014,parlement-wallon
WALLONIE D'ABORD,,63,Aiseau-Presles,2014,parlement-wallon
NATION,,34,Aiseau-Presles,2014,parlement-wallon
RassemblementWalon,,29,Aiseau-Presles,2014,parlement-wallon
FW,,26,Aiseau-Presles,2014,parlement-wallon
MR,,1065,Amay,2014,parlement-wallon
FDF,,179,Amay,2014,parlement-wallon
ECOLO,,2153,Amay,2014,parlement-wallon
PS,,3171,Amay,2014,parlement-wallon
CDH,,499,Amay,2014,parlement-wallon
Parti Populaire,,436,Amay,2014,parlement-wallon
PTB-GO!,,829,Amay,2014,parlement-wallon
MG,,11,Amay,2014,parlement-wallon
LA DROITE,,170,Amay,2014,parlement-wallon
R.W.F.,,56,Amay,2014,parlement-wallon
VLC,,43,Amay,2014,parlement-wallon
PP PARTIPENSIONNES,,97,Amay,2014,parlement-wallon
MR,,501,Amblève,2014,parlement-wallon
F.D.F.,,15,Amblève,2014,parlement-wallon
ECOLO,,336,Amblève,2014,parlement-wallon
PS,,1250,Amblève,2014,parlement-wallon
CDH,,695,Amblève,2014,parlement-wallon
Parti Populaire,,37,Amblève,2014,parlement-wallon
PTB-GO!,,28,Amblève,2014,parlement-wallon
MG,,5,Amblève,2014,parlement-wallon
LA DROITE,,61,Amblève,2014,parlement-wallon
R.W.F.,,3,Amblève,2014,parlement-wallon
VLC,,5,Amblève,2014,parlement-wallon
R,,11,Amblève,2014,parlement-wallon
PP PARTIPENSIONNES,,3,Amblève,2014,parlement-wallon
MR,,2864,Andenne,2014,parlement-wallon
FDF,,388,Andenne,2014,parlement-wallon
ECOLO,,1624,Andenne,2014,parlement-wallon
PS,,6103,Andenne,2014,parlement-wallon
CDH,,2091,Andenne,2014,parlement-wallon
Parti Populaire,,737,Andenne,2014,parlement-wallon
PTB-GO!,,910,Andenne,2014,parlement-wallon
MG,,25,Andenne,2014,parlement-wallon
LA DROITE,,267,Andenne,2014,parlement-wallon
R,,46,Andenne,2014,parlement-wallon
R.W.F.,,118,Andenne,2014,parlement-wallon
FW,,42,Andenne,2014,parlement-wallon
UdL,,16,Andenne,2014,parlement-wallon
NATION,,162,Andenne,2014,parlement-wallon
MR,,976,Anderlues,2014,parlement-wallon
FDF,,127,Anderlues,2014,parlement-wallon
ECOLO,,284,Anderlues,2014,parlement-wallon
PS,,3161,Anderlues,2014,parlement-wallon
CDH,,854,Anderlues,2014,parlement-wallon
Parti Populaire,,374,Anderlues,2014,parlement-wallon
PTB-GO !,,386,Anderlues,2014,parlement-wallon
MG,,96,Anderlues,2014,parlement-wallon
LA DROITE,,136,Anderlues,2014,parlement-wallon
RassemblementWalon,,101,Anderlues,2014,parlement-wallon
NWA,,43,Anderlues,2014,parlement-wallon
R.W.F.,,32,Anderlues,2014,parlement-wallon
MR,,1100,Anhée,2014,parlement-wallon
FDF,,103,Anhée,2014,parlement-wallon
ECOLO,,365,Anhée,2014,parlement-wallon
PS,,965,Anhée,2014,parlement-wallon
CDH,,1197,Anhée,2014,parlement-wallon
PP,,170,Anhée,2014,parlement-wallon
PTB-GO!,,259,Anhée,2014,parlement-wallon
MG,,7,Anhée,2014,parlement-wallon
LA DROITE,,102,Anhée,2014,parlement-wallon
RASSEMBLEMENT R,,23,Anhée,2014,parlement-wallon
R.W.F.,,66,Anhée,2014,parlement-wallon
MR,,3310,Ans,2014,parlement-wallon
F.D.F,,567,Ans,2014,parlement-wallon
ECOLO,,1121,Ans,2014,parlement-wallon
PS,,6181,Ans,2014,parlement-wallon
CDH,,1741,Ans,2014,parlement-wallon
