Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
ECOLO,1,24323,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
CDH,2,37151,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
MR,2,41705,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
Parti Populaire,0,5044,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
DéFI,0,4786,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
PTB,0,14933,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
LISTES DESTEXHE,0,1549,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
PS,1,32317,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
NATION,0,1170,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
COLLECTIF CITOYEN,0,2070,Circonscription d'Arlon-Marche-en-Famenne-Bastogne-Neufchâteau-Virton,2019,parlement-wallon
ECOLO,1,25834,Circonscription de Charleroi-Thuin,2019,parlement-wallon
CDH,1,19216,Circonscription de Charleroi-Thuin,2019,parlement-wallon
MR,2,39622,Circonscription de Charleroi-Thuin,2019,parlement-wallon
Parti Populaire,0,12092,Circonscription de Charleroi-Thuin,2019,parlement-wallon
DéFI,0,11747,Circonscription de Charleroi-Thuin,2019,parlement-wallon
PTB,2,45703,Circonscription de Charleroi-Thuin,2019,parlement-wallon
LISTES DESTEXHE,0,3549,Circonscription de Charleroi-Thuin,2019,parlement-wallon
PS,4,85221,Circonscription de Charleroi-Thuin,2019,parlement-wallon
LA DROITE,0,3407,Circonscription de Charleroi-Thuin,2019,parlement-wallon
PCB,0,944,Circonscription de Charleroi-Thuin,2019,parlement-wallon
COLLECTIF CITOYEN,0,3184,Circonscription de Charleroi-Thuin,2019,parlement-wallon
NATION,0,2167,Circonscription de Charleroi-Thuin,2019,parlement-wallon
AGIR,0,3350,Circonscription de Charleroi-Thuin,2019,parlement-wallon
ECOLO,0,13047,Circonscription de Dinant-Philippeville,2019,parlement-wallon
CDH,1,16386,Circonscription de Dinant-Philippeville,2019,parlement-wallon
MR,2,28758,Circonscription de Dinant-Philippeville,2019,parlement-wallon
Parti Populaire,0,4002,Circonscription de Dinant-Philippeville,2019,parlement-wallon
DéFI,0,3929,Circonscription de Dinant-Philippeville,2019,parlement-wallon
PTB,0,14083,Circonscription de Dinant-Philippeville,2019,parlement-wallon
LISTES DESTEXHE,0,1497,Circonscription de Dinant-Philippeville,2019,parlement-wallon
PS,1,25645,Circonscription de Dinant-Philippeville,2019,parlement-wallon
COLLECTIF CITOYEN,0,2454,Circonscription de Dinant-Philippeville,2019,parlement-wallon
ECOLO,1,20002,Circonscription de Huy-Waremme,2019,parlement-wallon
CDH,0,9202,Circonscription de Huy-Waremme,2019,parlement-wallon
MR,2,27574,Circonscription de Huy-Waremme,2019,parlement-wallon
Parti Populaire,0,4426,Circonscription de Huy-Waremme,2019,parlement-wallon
DéFI,0,5277,Circonscription de Huy-Waremme,2019,parlement-wallon
PTB,0,15782,Circonscription de Huy-Waremme,2019,parlement-wallon
LISTES DESTEXHE,0,2043,Circonscription de Huy-Waremme,2019,parlement-wallon
PS,1,32113,Circonscription de Huy-Waremme,2019,parlement-wallon
WALLONIE INSOUMISE,0,1427,Circonscription de Huy-Waremme,2019,parlement-wallon
COLLECTIF CITOYEN,0,3028,Circonscription de Huy-Waremme,2019,parlement-wallon
REFERENDUM,0,621,Circonscription de Huy-Waremme,2019,parlement-wallon
ECOLO,2,46550,Circonscription de Liège,2019,parlement-wallon
CDH,1,23839,Circonscription de Liège,2019,parlement-wallon
MR,2,57000,Circonscription de Liège,2019,parlement-wallon
Parti Populaire,0,13272,Circonscription de Liège,2019,parlement-wallon
DéFI,0,13407,Circonscription de Liège,2019,parlement-wallon
PTB,3,61016,Circonscription de Liège,2019,parlement-wallon
LISTES DESTEXHE,0,5837,Circonscription de Liège,2019,parlement-wallon
PS,5,94531,Circonscription de Liège,2019,parlement-wallon
DierAnimal,0,5393,Circonscription de Liège,2019,parlement-wallon
NATION,0,2070,Circonscription de Liège,2019,parlement-wallon
WALLONIE INSOUMISE,0,3220,Circonscription de Liège,2019,parlement-wallon
COLLECTIF CITOYEN,0,3565,Circonscription de Liège,2019,parlement-wallon
DEMAIN,0,2784,Circonscription de Liège,2019,parlement-wallon
ECOLO,1,15458,Circonscription de Mons,2019,parlement-wallon
CDH,0,12090,Circonscription de Mons,2019,parlement-wallon
MR,1,20905,Circonscription de Mons,2019,parlement-wallon
Parti Populaire,0,4651,Circonscription de Mons,2019,parlement-wallon
DéFI,0,4060,Circonscription de Mons,2019,parlement-wallon
PTB,1,22346,Circonscription de Mons,2019,parlement-wallon
LISTES DESTEXHE,0,1485,Circonscription de Mons,2019,parlement-wallon
PS,2,50242,Circonscription de Mons,2019,parlement-wallon
DierAnimal,0,2537,Circonscription de Mons,2019,parlement-wallon
COLLECTIF CITOYEN,0,1863,Circonscription de Mons,2019,parlement-wallon
AGIR,0,1566,Circonscription de Mons,2019,parlement-wallon
ECOLO,2,31992,Circonscription de Namur,2019,parlement-wallon
CDH,1,29910,Circonscription de Namur,2019,parlement-wallon
MR,1,37292,Circonscription de Namur,2019,parlement-wallon
Parti Populaire,0,5621,Circonscription de Namur,2019,parlement-wallon
DéFI,0,10257,Circonscription de Namur,2019,parlement-wallon
PTB,1,22887,Circonscription de Namur,2019,parlement-wallon
LISTES DESTEXHE,0,2946,Circonscription de Namur,2019,parlement-wallon
PS,2,44148,Circonscription de Namur,2019,parlement-wallon
DierAnimal,0,3002,Circonscription de Namur,2019,parlement-wallon
NATION,0,1650,Circonscription de Namur,2019,parlement-wallon
AGIR,0,1179,Circonscription de Namur,2019,parlement-wallon
ECOLO,2,47410,Circonscription de Nivelles,2019,parlement-wallon
CDH,1,20216,Circonscription de Nivelles,2019,parlement-wallon
MR,4,81684,Circonscription de Nivelles,2019,parlement-wallon
Parti Populaire,0,6547,Circonscription de Nivelles,2019,parlement-wallon
DéFI,0,15196,Circonscription de Nivelles,2019,parlement-wallon
PTB,0,18074,Circonscription de Nivelles,2019,parlement-wallon
LISTES DESTEXHE,0,6031,Circonscription de Nivelles,2019,parlement-wallon
PS,1,35803,Circonscription de Nivelles,2019,parlement-wallon
Turquoise,0,590,Circonscription de Nivelles,2019,parlement-wallon
COLLECTIF CITOYEN,0,2818,Circonscription de Nivelles,2019,parlement-wallon
DierAnimal,0,3675,Circonscription de Nivelles,2019,parlement-wallon
WALLONIE INSOUMISE,0,1892,Circonscription de Nivelles,2019,parlement-wallon
ECOLO,0,14392,Circonscription de Soignies-La Louvière,2019,parlement-wallon
CDH,1,11041,Circonscription de Soignies-La Louvière,2019,parlement-wallon
MR,0,19628,Circonscription de Soignies-La Louvière,2019,parlement-wallon
Parti Populaire,0,4772,Circonscription de Soignies-La Louvière,2019,parlement-wallon
DéFI,0,4825,Circonscription de Soignies-La Louvière,2019,parlement-wallon
PTB,1,24731,Circonscription de Soignies-La Louvière,2019,parlement-wallon
LISTES DESTEXHE,0,2270,Circonscription de Soignies-La Louvière,2019,parlement-wallon
PS,3,48191,Circonscription de Soignies-La Louvière,2019,parlement-wallon
COLLECTIF CITOYEN,0,1845,Circonscription de Soignies-La Louvière,2019,parlement-wallon
DEMAIN,0,1659,Circonscription de Soignies-La Louvière,2019,parlement-wallon
ECOLO,1,28254,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
CDH,1,20949,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
MR,2,42181,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
Parti Populaire,0,5846,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
DéFI,0,6275,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
PTB,1,22293,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
LISTES DESTEXHE,0,1596,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
PS,2,55962,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
COLLECTIF CITOYEN,0,3653,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
AGIR,0,1051,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
DierAnimal,0,3810,Circonscription de Tournai-Ath-Mouscron,2019,parlement-wallon
