Parti,Nombre de sièges,Nombre de voix,commune,date,election
ECOLO,,565,Aiseau-Presles,2019,parlement-wallon
CDH,,610,Aiseau-Presles,2019,parlement-wallon
MR,,643,Aiseau-Presles,2019,parlement-wallon
Parti Populaire,,254,Aiseau-Presles,2019,parlement-wallon
DéFI,,226,Aiseau-Presles,2019,parlement-wallon
PTB,,1036,Aiseau-Presles,2019,parlement-wallon
LISTES DESTEXHE,,85,Aiseau-Presles,2019,parlement-wallon
PS,,2061,Aiseau-Presles,2019,parlement-wallon
LA DROITE,,76,Aiseau-Presles,2019,parlement-wallon
PCB,,22,Aiseau-Presles,2019,parlement-wallon
COLLECTIF CITOYEN,,117,Aiseau-Presles,2019,parlement-wallon
NATION,,50,Aiseau-Presles,2019,parlement-wallon
AGIR,,74,Aiseau-Presles,2019,parlement-wallon
ECOLO,,2284,Amay,2019,parlement-wallon
CDH,,261,Amay,2019,parlement-wallon
MR,,799,Amay,2019,parlement-wallon
Parti Populaire,,306,Amay,2019,parlement-wallon
DéFI,,316,Amay,2019,parlement-wallon
PTB,,1472,Amay,2019,parlement-wallon
LISTES DESTEXHE,,141,Amay,2019,parlement-wallon
PS,,2751,Amay,2019,parlement-wallon
WALLONIE INSOUMISE,,114,Amay,2019,parlement-wallon
COLLECTIF CITOYEN,,214,Amay,2019,parlement-wallon
REFERENDUM,,34,Amay,2019,parlement-wallon
ECOLO,,761,Amblève,2019,parlement-wallon
CDH,,780,Amblève,2019,parlement-wallon
MR,,578,Amblève,2019,parlement-wallon
Parti Populaire,,90,Amblève,2019,parlement-wallon
DéFI,,24,Amblève,2019,parlement-wallon
PTB,,104,Amblève,2019,parlement-wallon
LISTES DESTEXHE,,15,Amblève,2019,parlement-wallon
PS,,409,Amblève,2019,parlement-wallon
WALLONIE INSOUMISE,,18,Amblève,2019,parlement-wallon
COLLECTIF CITOYEN,,14,Amblève,2019,parlement-wallon
ECOLO,,2152,Andenne,2019,parlement-wallon
CDH,,1434,Andenne,2019,parlement-wallon
MR,,2307,Andenne,2019,parlement-wallon
Parti Populaire,,602,Andenne,2019,parlement-wallon
DéFI,,727,Andenne,2019,parlement-wallon
PTB,,2687,Andenne,2019,parlement-wallon
LISTES DESTEXHE,,219,Andenne,2019,parlement-wallon
PS,,5432,Andenne,2019,parlement-wallon
DierAnimal,,272,Andenne,2019,parlement-wallon
NATION,,128,Andenne,2019,parlement-wallon
AGIR,,132,Andenne,2019,parlement-wallon
ECOLO,,509,Anderlues,2019,parlement-wallon
CDH,,349,Anderlues,2019,parlement-wallon
MR,,606,Anderlues,2019,parlement-wallon
Parti Populaire,,268,Anderlues,2019,parlement-wallon
DéFI,,280,Anderlues,2019,parlement-wallon
PTB,,1129,Anderlues,2019,parlement-wallon
LISTES DESTEXHE,,64,Anderlues,2019,parlement-wallon
PS,,3038,Anderlues,2019,parlement-wallon
LA DROITE,,96,Anderlues,2019,parlement-wallon
PCB,,21,Anderlues,2019,parlement-wallon
COLLECTIF CITOYEN,,75,Anderlues,2019,parlement-wallon
NATION,,46,Anderlues,2019,parlement-wallon
AGIR,,84,Anderlues,2019,parlement-wallon
ECOLO,,541,Anhée,2019,parlement-wallon
CDH,,974,Anhée,2019,parlement-wallon
MR,,859,Anhée,2019,parlement-wallon
Parti Populaire,,121,Anhée,2019,parlement-wallon
DéFI,,229,Anhée,2019,parlement-wallon
PTB,,616,Anhée,2019,parlement-wallon
LISTES DESTEXHE,,42,Anhée,2019,parlement-wallon
PS,,875,Anhée,2019,parlement-wallon
COLLECTIF CITOYEN,,90,Anhée,2019,parlement-wallon
ECOLO,,1690,Ans,2019,parlement-wallon
