Parti,Nombre de sièges,Nombre de voix,province,date,election
COLLECTIF CITOYEN,0,10545,Province de Hainaut,2019,parlement-wallon
LISTES DESTEXHE,0,8900,Province de Hainaut,2019,parlement-wallon
Parti Populaire,0,27361,Province de Hainaut,2019,parlement-wallon
PTB,5,115073,Province de Hainaut,2019,parlement-wallon
CDH,3,63296,Province de Hainaut,2019,parlement-wallon
DéFI,0,26907,Province de Hainaut,2019,parlement-wallon
PS,11,239616,Province de Hainaut,2019,parlement-wallon
MR,5,122336,Province de Hainaut,2019,parlement-wallon
ECOLO,3,83938,Province de Hainaut,2019,parlement-wallon
DierAnimal,0,6347,Province de Hainaut,2019,parlement-wallon
DEMAIN,0,1659,Province de Hainaut,2019,parlement-wallon
AGIR,0,5967,Province de Hainaut,2019,parlement-wallon
NATION,0,4759,Province de Hainaut,2019,parlement-wallon
LA DROITE,0,3407,Province de Hainaut,2019,parlement-wallon
PCB,0,944,Province de Hainaut,2019,parlement-wallon
COLLECTIF CITOYEN,0,8786,Province de Liège,2019,parlement-wallon
LISTES DESTEXHE,0,9955,Province de Liège,2019,parlement-wallon
Parti Populaire,0,26047,Province de Liège,2019,parlement-wallon
REFERENDUM,0,621,Province de Liège,2019,parlement-wallon
WALLONIE INSOUMISE,0,6263,Province de Liège,2019,parlement-wallon
PTB,4,93293,Province de Liège,2019,parlement-wallon
CDH,2,56816,Province de Liège,2019,parlement-wallon
DéFI,0,23144,Province de Liège,2019,parlement-wallon
PS,7,154893,Province de Liège,2019,parlement-wallon
MR,6,124103,Province de Liège,2019,parlement-wallon
ECOLO,4,93921,Province de Liège,2019,parlement-wallon
DierAnimal,0,5393,Province de Liège,2019,parlement-wallon
DEMAIN,0,2784,Province de Liège,2019,parlement-wallon
NATION,0,2070,Province de Liège,2019,parlement-wallon
COLLECTIF CITOYEN,0,2070,Province de Luxembourg,2019,parlement-wallon
LISTES DESTEXHE,0,1549,Province de Luxembourg,2019,parlement-wallon
Parti Populaire,0,5044,Province de Luxembourg,2019,parlement-wallon
PTB,0,14933,Province de Luxembourg,2019,parlement-wallon
CDH,2,37151,Province de Luxembourg,2019,parlement-wallon
DéFI,0,4786,Province de Luxembourg,2019,parlement-wallon
PS,1,32317,Province de Luxembourg,2019,parlement-wallon
MR,2,41705,Province de Luxembourg,2019,parlement-wallon
ECOLO,1,24323,Province de Luxembourg,2019,parlement-wallon
NATION,0,1170,Province de Luxembourg,2019,parlement-wallon
COLLECTIF CITOYEN,0,2454,Province de Namur,2019,parlement-wallon
LISTES DESTEXHE,0,4443,Province de Namur,2019,parlement-wallon
Parti Populaire,0,9623,Province de Namur,2019,parlement-wallon
PTB,1,36970,Province de Namur,2019,parlement-wallon
CDH,2,46296,Province de Namur,2019,parlement-wallon
DéFI,0,14186,Province de Namur,2019,parlement-wallon
PS,3,69793,Province de Namur,2019,parlement-wallon
MR,3,66050,Province de Namur,2019,parlement-wallon
ECOLO,2,45039,Province de Namur,2019,parlement-wallon
DierAnimal,0,3002,Province de Namur,2019,parlement-wallon
AGIR,0,1179,Province de Namur,2019,parlement-wallon
NATION,0,1650,Province de Namur,2019,parlement-wallon
COLLECTIF CITOYEN,0,2818,Province du Brabant wallon,2019,parlement-wallon
LISTES DESTEXHE,0,6031,Province du Brabant wallon,2019,parlement-wallon
Parti Populaire,0,6547,Province du Brabant wallon,2019,parlement-wallon
WALLONIE INSOUMISE,0,1892,Province du Brabant wallon,2019,parlement-wallon
PTB,0,18074,Province du Brabant wallon,2019,parlement-wallon
CDH,1,20216,Province du Brabant wallon,2019,parlement-wallon
DéFI,0,15196,Province du Brabant wallon,2019,parlement-wallon
PS,1,35803,Province du Brabant wallon,2019,parlement-wallon
MR,4,81684,Province du Brabant wallon,2019,parlement-wallon
ECOLO,2,47410,Province du Brabant wallon,2019,parlement-wallon
DierAnimal,0,3675,Province du Brabant wallon,2019,parlement-wallon
Turquoise,0,590,Province du Brabant wallon,2019,parlement-wallon
