Parti,Nombre de sièges,Nombre de voix,province,date,election
PSC/CVP,9.0,182433,Anvers,1946,sénat
Socialistische Partij/ P,5.0,115042,Anvers,1946,sénat
UDB,,2332,Anvers,1946,sénat
Parti Liberale/Liberale,1.0,23311,Anvers,1946,sénat
KPB/PCB,,12834,Anvers,1946,sénat
Onafhankelijken,,2174,Anvers,1946,sénat
PSC/CVP,8.0,181056,Brabant,1946,sénat
Socialistische Partij/ P,7.0,161034,Brabant,1946,sénat
UDB,,12034,Brabant,1946,sénat
Parti Liberale/Liberale,3.0,62611,Brabant,1946,sénat
KPB/PCB,3.0,72102,Brabant,1946,sénat
Union des métiers,,3764,Brabant,1946,sénat
PSC/CVP,8.0,151432,Flandre occidentale,1946,sénat
Socialistische Partij/ P,3.0,73208,Flandre occidentale,1946,sénat
UDB,,2435,Flandre occidentale,1946,sénat
Parti Liberale/Liberale,,22665,Flandre occidentale,1946,sénat
KPB/PCB,,14628,Flandre occidentale,1946,sénat
PSC/CVP,10.0,188451,Flandre orientale,1946,sénat
Socialistische Partij/ P,4.0,93037,Flandre orientale,1946,sénat
UDB,,2052,Flandre orientale,1946,sénat
Parti Liberale/Liberale,,34731,Flandre orientale,1946,sénat
KPB/PCB,,25722,Flandre orientale,1946,sénat
PSC/CVP,4.0,75240,Hainaut,1946,sénat
Socialistische Partij/ P,8.0,149543,Hainaut,1946,sénat
UDB,,9873,Hainaut,1946,sénat
Parti Liberale/Liberale,,34527,Hainaut,1946,sénat
KPB/PCB,4.0,91285,Hainaut,1946,sénat
PSC/CVP,4.0,69534,Liège,1946,sénat
Socialistische Partij/ P,5.0,102845,Liège,1946,sénat
UDB,,11234,Liège,1946,sénat
Parti Liberale/Liberale,,26557,Liège,1946,sénat
KPB/PCB,3.0,58049,Liège,1946,sénat
Onafhankelijken,,1692,Liège,1946,sénat
PSC/CVP,4.0,76141,Limbourg,1946,sénat
UDB,,2748,Limbourg,1946,sénat
KPB/PCB,,3479,Limbourg,1946,sénat
KARTEL,,17116,Limbourg,1946,sénat
Demarrez,,3753,Limbourg,1946,sénat
PSC/CVP,2.0,34874,Luxembourg,1946,sénat
UDB,,2464,Luxembourg,1946,sénat
KPB/PCB,,7973,Luxembourg,1946,sénat
KARTEL,1.0,16616,Luxembourg,1946,sénat
PSC/CVP,2.0,40103,Namur,1946,sénat
Socialistische Partij/ P,2.0,35234,Namur,1946,sénat
UDB,,3269,Namur,1946,sénat
Parti Liberale/Liberale,,10435,Namur,1946,sénat
KPB/PCB,1.0,14583,Namur,1946,sénat
