Parti,Nombre de sièges,Nombre de voix,canton,date,election
Parti Liberale/Liberale,,2575,Aarschot,1954,sénat
KPB/PCB,,246,Aarschot,1954,sénat
Christelijke Vlaamse Vol,,551,Aarschot,1954,sénat
BSP/PSB,,5366,Aarschot,1954,sénat
PSC/CVP,,11478,Aarschot,1954,sénat
Rassemblement,,20216,Aarschot,1954,sénat
Parti Liberale/Liberale,,14423,Alost,1954,sénat
KPB/PCB,,3517,Alost,1954,sénat
Christelijke Vlaamse Vol,,3725,Alost,1954,sénat
BSP/PSB,,12995,Alost,1954,sénat
PSC/CVP,,23058,Alost,1954,sénat
Parti Liberale/Liberale,,1367,Andenne,1954,sénat
KPB/PCB,,404,Andenne,1954,sénat
BSP/PSB,,6505,Andenne,1954,sénat
PSC/CVP,,3904,Andenne,1954,sénat
Parti Liberale/Liberale,,9326,Anderlecht,1954,sénat
KPB/PCB,,3013,Anderlecht,1954,sénat
Christelijke Vlaamse Vol,,937,Anderlecht,1954,sénat
BSP/PSB,,38677,Anderlecht,1954,sénat
PSC/CVP,,18344,Anderlecht,1954,sénat
Rassemblement,,1881,Anderlecht,1954,sénat
b,,179,Anderlecht,1954,sénat
c,,94,Anderlecht,1954,sénat
D,,93,Anderlecht,1954,sénat
Parti Liberale/Liberale,,1689,Antoing,1954,sénat
KPB/PCB,,1479,Antoing,1954,sénat
BSP/PSB,,7285,Antoing,1954,sénat
PSC/CVP,,4972,Antoing,1954,sénat
Parti Liberale/Liberale,,23572,Anvers,1954,sénat
KPB/PCB,,6227,Anvers,1954,sénat
Volksunie,,8416,Anvers,1954,sénat
BSP/PSB,,82146,Anvers,1954,sénat
PSC/CVP,,63715,Anvers,1954,sénat
A,,1694,Anvers,1954,sénat
c,,1465,Anvers,1954,sénat
Parti Liberale/Liberale,,267,Ardooie,1954,sénat
KPB/PCB,,13,Ardooie,1954,sénat
Christelijke Vlaamse Vol,,197,Ardooie,1954,sénat
BSP/PSB,,1668,Ardooie,1954,sénat
PSC/CVP,,5757,Ardooie,1954,sénat
Parti Liberale/Liberale,,104,Arendonk,1954,sénat
KPB/PCB,,17,Arendonk,1954,sénat
Volksunie,,251,Arendonk,1954,sénat
BSP/PSB,,2461,Arendonk,1954,sénat
PSC/CVP,,10147,Arendonk,1954,sénat
KARTEL,,6246,Arlon,1954,sénat
PSC/CVP,,6537,Arlon,1954,sénat
Parti Liberale/Liberale,,4329,Asse,1954,sénat
KPB/PCB,,234,Asse,1954,sénat
Christelijke Vlaamse Vol,,1068,Asse,1954,sénat
BSP/PSB,,7499,Asse,1954,sénat
PSC/CVP,,18885,Asse,1954,sénat
Rassemblement,,487,Asse,1954,sénat
b,,64,Asse,1954,sénat
c,,74,Asse,1954,sénat
D,,41,Asse,1954,sénat
Parti Liberale/Liberale,,1337,Assenede,1954,sénat
KPB/PCB,,105,Assenede,1954,sénat
Christelijke Vlaamse Vol,,110,Assenede,1954,sénat
BSP/PSB,,5820,Assenede,1954,sénat
PSC/CVP,,7175,Assenede,1954,sénat
Parti Liberale/Liberale,,2211,Ath,1954,sénat
KPB/PCB,,640,Ath,1954,sénat
BSP/PSB,,6317,Ath,1954,sénat
PSC/CVP,,3113,Ath,1954,sénat
Parti Liberale/Liberale,,490,Aubel,1954,sénat
KPB/PCB,,57,Aubel,1954,sénat
BSP/PSB,,2659,Aubel,1954,sénat
PSC/CVP,,7236,Aubel,1954,sénat
Parti Liberale/Liberale,,5258,Audenarde,1954,sénat
KPB/PCB,,163,Audenarde,1954,sénat
Christelijke Vlaamse Vol,,388,Audenarde,1954,sénat
BSP/PSB,,6129,Audenarde,1954,sénat
PSC/CVP,,11497,Audenarde,1954,sénat
Parti Liberale/Liberale,,1127,Avelgem,1954,sénat
KPB/PCB,,119,Avelgem,1954,sénat
Christelijke Vlaamse Vol,,77,Avelgem,1954,sénat
BSP/PSB,,3057,Avelgem,1954,sénat
PSC/CVP,,5276,Avelgem,1954,sénat
KARTEL,,2024,Bastogne,1954,sénat
PSC/CVP,,4292,Bastogne,1954,sénat
Parti Liberale/Liberale,,1464,Beaumont,1954,sénat
KPB/PCB,,172,Beaumont,1954,sénat
BSP/PSB,,2371,Beaumont,1954,sénat
PSC/CVP,,2999,Beaumont,1954,sénat
Parti Liberale/Liberale,,1300,Beauraing,1954,sénat
KPB/PCB,,87,Beauraing,1954,sénat
BSP/PSB,,2305,Beauraing,1954,sénat
PSC/CVP,,3714,Beauraing,1954,sénat
Parti Liberale/Liberale,,6628,Berchem,1954,sénat
KPB/PCB,,1081,Berchem,1954,sénat
Volksunie,,2928,Berchem,1954,sénat
BSP/PSB,,19845,Berchem,1954,sénat
PSC/CVP,,25659,Berchem,1954,sénat
A,,604,Berchem,1954,sénat
c,,528,Berchem,1954,sénat
KARTEL,,6087,Beringen,1954,sénat
Christelijke Vlaamse Vol,,3422,Beringen,1954,sénat
PSC/CVP,,18604,Beringen,1954,sénat
Parti Liberale/Liberale,,387,Beveren,1954,sénat
KPB/PCB,,130,Beveren,1954,sénat
Christelijke Vlaamse Vol,,584,Beveren,1954,sénat
BSP/PSB,,4134,Beveren,1954,sénat
PSC/CVP,,10983,Beveren,1954,sénat
KARTEL,,1665,Bilzen,1954,sénat
Christelijke Vlaamse Vol,,1999,Bilzen,1954,sénat
PSC/CVP,,9684,Bilzen,1954,sénat
Parti Liberale/Liberale,,4218,Binche,1954,sénat
KPB/PCB,,4160,Binche,1954,sénat
BSP/PSB,,22229,Binche,1954,sénat
PSC/CVP,,8828,Binche,1954,sénat
