Parti,Nombre de sièges,Nombre de voix,arrondissement,date,election
CVP,1.0,82625,Alost-Audenarde,1978,sénat
BSP,1.0,50728,Alost-Audenarde,1978,sénat
PVV,1.0,59421,Alost-Audenarde,1978,sénat
VU,1.0,25302,Alost-Audenarde,1978,sénat
VLAAMS BLOK,,5471,Alost-Audenarde,1978,sénat
KPB,,5174,Alost-Audenarde,1978,sénat
AMADA,,1133,Alost-Audenarde,1978,sénat
RAL,,685,Alost-Audenarde,1978,sénat
CVP,5.0,220747,Anvers,1978,sénat
BSP,3.0,135007,Anvers,1978,sénat
PVV,1.0,77708,Anvers,1978,sénat
VU,1.0,57443,Anvers,1978,sénat
VLAAMS BLOK,,21748,Anvers,1978,sénat
AGALEV,,7047,Anvers,1978,sénat
RAD,,3337,Anvers,1978,sénat
KPB,,16694,Anvers,1978,sénat
AMADA,,12135,Anvers,1978,sénat
PVCM,,1384,Anvers,1978,sénat
PSC,1.0,49670,Arlon,1978,sénat
PSB,1.0,30837,Arlon,1978,sénat
ECOLO,,2043,Arlon,1978,sénat
PRLW,,27602,Arlon,1978,sénat
RW,,6659,Arlon,1978,sénat
UDRT,,4231,Arlon,1978,sénat
AMA/TPO,,210,Arlon,1978,sénat
CVP,2.0,66268,Bruges,1978,sénat
BSP,1.0,34116,Bruges,1978,sénat
PVV,,21502,Bruges,1978,sénat
VU,,15752,Bruges,1978,sénat
VLAAMS BLOK,,2784,Bruges,1978,sénat
KPB,,2446,Bruges,1978,sénat
AMADA,,1225,Bruges,1978,sénat
RAL,,414,Bruges,1978,sénat
GROEN,,1841,Bruges,1978,sénat
CVP,3.0,145513,Bruxelles,1978,sénat
BSP,1.0,45808,Bruxelles,1978,sénat
PVV,1.0,62318,Bruxelles,1978,sénat
VU,1.0,45959,Bruxelles,1978,sénat
VLAAMS BLOK,,16029,Bruxelles,1978,sénat
PSC,2.0,73330,Bruxelles,1978,sénat
PSB,2.0,85928,Bruxelles,1978,sénat
PL,1.0,47413,Bruxelles,1978,sénat
FDF,6.0,238760,Bruxelles,1978,sénat
RAD/UDRT,,20329,Bruxelles,1978,sénat
KPB/PCB,,23550,Bruxelles,1978,sénat
AMADA,,4732,Bruxelles,1978,sénat
ECOLOG,,10817,Bruxelles,1978,sénat
PFU,,2045,Bruxelles,1978,sénat
PSC,2.0,69744,Charleroi-Thuin,1978,sénat
PSB,2.0,120898,Charleroi-Thuin,1978,sénat
PRLW,1.0,35183,Charleroi-Thuin,1978,sénat
RW,1.0,37428,Charleroi-Thuin,1978,sénat
PCB,1.0,22831,Charleroi-Thuin,1978,sénat
TPO,,1570,Charleroi-Thuin,1978,sénat
LRT,,725,Charleroi-Thuin,1978,sénat
PLW,,8182,Charleroi-Thuin,1978,sénat
PCR,,917,Charleroi-Thuin,1978,sénat
CVP,1.0,103472,Courtrai-Ypres,1978,sénat
BSP,1.0,50360,Courtrai-Ypres,1978,sénat
PVV,1.0,34149,Courtrai-Ypres,1978,sénat
VU,1.0,23367,Courtrai-Ypres,1978,sénat
VLAAMS BLOK,,2654,Courtrai-Ypres,1978,sénat
KPB,,3355,Courtrai-Ypres,1978,sénat
AMADA,,2413,Courtrai-Ypres,1978,sénat
CVP,1.0,45233,Furnes-Dixmude-Ostende,1978,sénat
BSP,,33750,Furnes-Dixmude-Ostende,1978,sénat
PVV,1.0,28398,Furnes-Dixmude-Ostende,1978,sénat
VU,,16579,Furnes-Dixmude-Ostende,1978,sénat
VLAAMS BLOK,,1813,Furnes-Dixmude-Ostende,1978,sénat
KPB,,3119,Furnes-Dixmude-Ostende,1978,sénat
AMADA,,925,Furnes-Dixmude-Ostende,1978,sénat
CVP,3.0,142022,Gand-Eeklo,1978,sénat
BSP,1.0,61435,Gand-Eeklo,1978,sénat
PVV,1.0,69703,Gand-Eeklo,1978,sénat
VU,1.0,39664,Gand-Eeklo,1978,sénat
VLAAMS BLOK,,7859,Gand-Eeklo,1978,sénat
RAD,,3081,Gand-Eeklo,1978,sénat
KPB,,8796,Gand-Eeklo,1978,sénat
AMADA,,3241,Gand-Eeklo,1978,sénat
PF-ECO,,1505,Gand-Eeklo,1978,sénat
CVP,4.0,173236,Hasselt,1978,sénat
BSP,1.0,72271,Hasselt,1978,sénat
PVV,1.0,51151,Hasselt,1978,sénat
VU,1.0,45261,Hasselt,1978,sénat
VLAAMS BLOK,,5207,Hasselt,1978,sénat
KPB,,3229,Hasselt,1978,sénat
AMADA,,4891,Hasselt,1978,sénat
PSC,1.0,23534,Huy-Waremme,1978,sénat
PSB,1.0,41281,Huy-Waremme,1978,sénat
PRLW,,13485,Huy-Waremme,1978,sénat
RW,,6114,Huy-Waremme,1978,sénat
PCB,,4494,Huy-Waremme,1978,sénat
PDB,,324,Huy-Waremme,1978,sénat
PSC,2.0,77505,Liège,1978,sénat
PSB,3.0,129547,Liège,1978,sénat
ECOLO,,7461,Liège,1978,sénat
PRLW,1.0,47959,Liège,1978,sénat
RW,1.0,27785,Liège,1978,sénat
UDRT,,2841,Liège,1978,sénat
PCB,,22398,Liège,1978,sénat
TPO,,1204,Liège,1978,sénat
PDB,,572,Liège,1978,sénat
PLW,,2468,Liège,1978,sénat
PPB,,2804,Liège,1978,sénat
CVP,2.0,93868,Louvain,1978,sénat
BSP,1.0,51915,Louvain,1978,sénat
PVV,1.0,57134,Louvain,1978,sénat
VU,,19693,Louvain,1978,sénat
VLAAMS BLOK,,5051,Louvain,1978,sénat
FDF,,4018,Louvain,1978,sénat
KPB,,5304,Louvain,1978,sénat
AMADA,,1982,Louvain,1978,sénat
RAL,,615,Louvain,1978,sénat
LSDP,,3239,Louvain,1978,sénat
LP,,790,Louvain,1978,sénat
CVP,4.0,186187,Malines-Turnhout,1978,sénat
BSP,1.0,73570,Malines-Turnhout,1978,sénat
PVV,1.0,54529,Malines-Turnhout,1978,sénat
VU,1.0,38950,Malines-Turnhout,1978,sénat
VLAAMS BLOK,,6445,Malines-Turnhout,1978,sénat
RAD,,1235,Malines-Turnhout,1978,sénat
KPB,,6249,Malines-Turnhout,1978,sénat
AMADA,,3929,Malines-Turnhout,1978,sénat
PSC,1.0,49066,Mons-Soignies,1978,sénat
PSB,3.0,100564,Mons-Soignies,1978,sénat
PRLW,1.0,29587,Mons-Soignies,1978,sénat
RW,,13215,Mons-Soignies,1978,sénat
UDRT,,3466,Mons-Soignies,1978,sénat
PCB,,23212,Mons-Soignies,1978,sénat
TPO,,956,Mons-Soignies,1978,sénat
PSC,1.0,67739,Namur,1978,sénat
PSB,2.0,70847,Namur,1978,sénat
ECOLO,,7097,Namur,1978,sénat
PRLW,1.0,41179,Namur,1978,sénat
RW,,24585,Namur,1978,sénat
UDRT,,3056,Namur,1978,sénat
PCB,,6188,Namur,1978,sénat
PVV,1.0,765,Nivelles,1978,sénat
VU,,760,Nivelles,1978,sénat
VLAAMS BLOK,,329,Nivelles,1978,sénat
PSC,,37671,Nivelles,1978,sénat
PSB,1.0,43625,Nivelles,1978,sénat
PLF,,2640,Nivelles,1978,sénat
ECOLO,,4688,Nivelles,1978,sénat
PRLW,,26380,Nivelles,1978,sénat
RW,1.0,23935,Nivelles,1978,sénat
UDRT,,5878,Nivelles,1978,sénat
PCB,,5225,Nivelles,1978,sénat
TPO,,398,Nivelles,1978,sénat
CVP,1.0,62895,Roulers-Tielt,1978,sénat
BSP,1.0,22670,Roulers-Tielt,1978,sénat
PVV,,15589,Roulers-Tielt,1978,sénat
VU,,22910,Roulers-Tielt,1978,sénat
VLAAMS BLOK,,1161,Roulers-Tielt,1978,sénat
KPB,,1386,Roulers-Tielt,1978,sénat
AMADA,,739,Roulers-Tielt,1978,sénat
CVP,2.0,98711,Saint-Nicolas-Termonde,1978,sénat
BSP,1.0,47146,Saint-Nicolas-Termonde,1978,sénat
PVV,1.0,40168,Saint-Nicolas-Termonde,1978,sénat
VU,,32922,Saint-Nicolas-Termonde,1978,sénat
VLAAMS BLOK,,4258,Saint-Nicolas-Termonde,1978,sénat
KPB,,4543,Saint-Nicolas-Termonde,1978,sénat
AMADA,,2320,Saint-Nicolas-Termonde,1978,sénat
RAL,,801,Saint-Nicolas-Termonde,1978,sénat
PSC,1.0,43444,Tournai-Ath-Mouscron,1978,sénat
PSB,2.0,61648,Tournai-Ath-Mouscron,1978,sénat
PRLW,,32774,Tournai-Ath-Mouscron,1978,sénat
RW,,6616,Tournai-Ath-Mouscron,1978,sénat
UDRT,,2792,Tournai-Ath-Mouscron,1978,sénat
PCB,,10658,Tournai-Ath-Mouscron,1978,sénat
LRT,,504,Tournai-Ath-Mouscron,1978,sénat
UDP,,2221,Tournai-Ath-Mouscron,1978,sénat
BSP/PSB,1.0,30969,Verviers,1978,sénat
PSC/CSP,1.0,44236,Verviers,1978,sénat
PRLW/PRF,1.0,27803,Verviers,1978,sénat
RW,,8051,Verviers,1978,sénat
UDRT,,1325,Verviers,1978,sénat
PCB,,3860,Verviers,1978,sénat
AMA/TPO,,376,Verviers,1978,sénat
PDB,,10252,Verviers,1978,sénat
PLW,,431,Verviers,1978,sénat
