Parti,Nombre de sièges,Nombre de voix,collège-électoral,date,election
PSC,3.0,434492,College électoral français,1995,sénat
PS,5.0,764610,College électoral français,1995,sénat
ECOLO,2.0,258635,College électoral français,1995,sénat
PRL-FDF,5.0,672798,College électoral français,1995,sénat
PTB,,16667,College électoral français,1995,sénat
VLAAMS,,22632,College électoral français,1995,sénat
PDB,,13762,College électoral français,1995,sénat
PCN,,10058,College électoral français,1995,sénat
SAMUEL,,31392,College électoral français,1995,sénat
G.U.,,15994,College électoral français,1995,sénat
CVP,7.0,1009656,College électoral néerlandais,1995,sénat
SP,6.0,792941,College électoral néerlandais,1995,sénat
VLD,6.0,796154,College électoral néerlandais,1995,sénat
AGALEV,1.0,223355,College électoral néerlandais,1995,sénat
VU,2.0,318453,College électoral néerlandais,1995,sénat
VLAAMS BLOK,3.0,463896,College électoral néerlandais,1995,sénat
VVP,,7187,College électoral néerlandais,1995,sénat
PVDA-AE,,21607,College électoral néerlandais,1995,sénat
HOERA,,20790,College électoral néerlandais,1995,sénat
WOW,,32913,College électoral néerlandais,1995,sénat
BANAAN,,31956,College électoral néerlandais,1995,sénat
W.O.W.,,20426,College électoral néerlandais,1995,sénat
N.W.P.,,4384,College électoral néerlandais,1995,sénat
D,,7567,College électoral néerlandais,1995,sénat
