Parti,Nombre de sièges,Nombre de voix,circonscription-électorale,date,election
CD&V NVA,,102646,Circonscription électorale de BHV,2007,sénat
VLAAMS BELANG,,76036,Circonscription électorale de BHV,2007,sénat
open vld,,88115,Circonscription électorale de BHV,2007,sénat
GROEN!,,21315,Circonscription électorale de BHV,2007,sénat
sp.a-spirit,,40424,Circonscription électorale de BHV,2007,sénat
Lijst Dedecker,,14850,Circonscription électorale de BHV,2007,sénat
CAP,,766,Circonscription électorale de BHV,2007,sénat
PVDA+,,1756,Circonscription électorale de BHV,2007,sénat
NEE,,793,Circonscription électorale de BHV,2007,sénat
stijn,,786,Circonscription électorale de BHV,2007,sénat
FN,,18384,Circonscription électorale de BHV,2007,sénat
CDH,,73074,Circonscription électorale de BHV,2007,sénat
MR,,189633,Circonscription électorale de BHV,2007,sénat
PS,,111004,Circonscription électorale de BHV,2007,sénat
ECOLO,,85893,Circonscription électorale de BHV,2007,sénat
PC,,2483,Circonscription électorale de BHV,2007,sénat
R.W.F.,,2615,Circonscription électorale de BHV,2007,sénat
PTB+,,3603,Circonscription électorale de BHV,2007,sénat
FORCE NATIONALE,,2039,Circonscription électorale de BHV,2007,sénat
CDF,,4141,Circonscription électorale de BHV,2007,sénat
CAP,,1722,Circonscription électorale de BHV,2007,sénat
CD&V NVA,,1184743,Circonscription électorale flamande,2007,sénat
VLAAMS BELANG,,711746,Circonscription électorale flamande,2007,sénat
open vld,,733865,Circonscription électorale flamande,2007,sénat
GROEN!,,219836,Circonscription électorale flamande,2007,sénat
sp.a-spirit,,624918,Circonscription électorale flamande,2007,sénat
Lijst Dedecker,,209142,Circonscription électorale flamande,2007,sénat
CAP,,12172,Circonscription électorale flamande,2007,sénat
PVDA+,,33012,Circonscription électorale flamande,2007,sénat
NEE,,11322,Circonscription électorale flamande,2007,sénat
stijn,,10311,Circonscription électorale flamande,2007,sénat
FN,,132077,Circonscription électorale wallonne,2007,sénat
CDH,,317778,Circonscription électorale wallonne,2007,sénat
MR,,626122,Circonscription électorale wallonne,2007,sénat
PS,,567808,Circonscription électorale wallonne,2007,sénat
ECOLO,,299573,Circonscription électorale wallonne,2007,sénat
PC,,17149,Circonscription électorale wallonne,2007,sénat
R.W.F.,,29479,Circonscription électorale wallonne,2007,sénat
PTB+,,16436,Circonscription électorale wallonne,2007,sénat
FORCE NATIONALE,,12827,Circonscription électorale wallonne,2007,sénat
CDF,,9178,Circonscription électorale wallonne,2007,sénat
CAP,,6555,Circonscription électorale wallonne,2007,sénat
